,filename,ATTRIBUTE_Species,ATTRIBUTE_Sppart,Sample_specificity,FC,Reported_comp_Species,Reported_comp_Genus,LC,SC,New_in_species,New_in_genus,CC,PR
16,LQ-01-61-07_pos.mzXML,Celastrus paniculatus,Celastrus paniculatus|Seeds,0.7134502923976608,0.6705653021442495,85,910.0,0,1.0,"{'Labdane diterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Ceramides', 'Prostaglandins', 'Polyamines', 'Menthane monoterpenoids', 'Taxane diterpenoids', 'Germacrane sesquiterpenoids', 'Open-chain polyketides', 'Limonoids', 'Other Octadecanoids', 'Monoacylglycerols', 'Nitro fatty acids', 'N-acyl ethanolamines (endocannabinoids)', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Prenyl quinone meroterpenoids', 'Diacylglycerols', 'Dicarboxylic acids', 'Simple phenolic acids', 'Straight chain fatty acids', 'Daucane sesquiterpenoids', 'Sphingoid bases', 'Fatty alcohols', 'Neutral glycosphingolipids', 'Tetracyclic diterpenoids', 'Aminosugars', 'Trichothecane sesquiterpenoids', 'Purine alkaloids', 'Hydroxy fatty acids', 'Imidazole alkaloids', 'Cinnamic acids and derivatives', 'Macrolide lactones', 'Cholane steroids', 'Cucurbitane triterpenoids', 'Arteminisin', 'Amino cyclitols', 'Paraliane diterpenoids', 'Dipeptides', 'Iridoids monoterpenoids', 'Primary amides', 'Fatty aldehydes'}","{'Labdane diterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Ceramides', 'Prostaglandins', 'Polyamines', 'Germacrane sesquiterpenoids', 'Taxane diterpenoids', 'Open-chain polyketides', 'Limonoids', 'Other Octadecanoids', 'Monoacylglycerols', 'Nitro fatty acids', 'N-acyl ethanolamines (endocannabinoids)', 'Primary amides', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Prenyl quinone meroterpenoids', 'Diacylglycerols', 'Dicarboxylic acids', 'Straight chain fatty acids', 'Daucane sesquiterpenoids', 'Sphingoid bases', 'Neutral glycosphingolipids', 'Tetracyclic diterpenoids', 'Aminosugars', 'Trichothecane sesquiterpenoids', 'Purine alkaloids', 'Hydroxy fatty acids', 'Imidazole alkaloids', 'Cinnamic acids and derivatives', 'Macrolide lactones', 'Cholane steroids', 'Cucurbitane triterpenoids', 'Arteminisin', 'Paraliane diterpenoids', 'Dipeptides', 'Iridoids monoterpenoids', 'Amino cyclitols', 'Fatty aldehydes'}",1.0,2.6705653021442495
17,LQ-01-61-70_pos.mzXML,Salacia cochinchinensis,Salacia cochinchinensis|Underground_parts,0.6829268292682927,0.6585365853658537,0,0.0,1,1.0,,,0.0,2.658536585365854
19,LQ-01-61-09_pos.mzXML,Celastrus paniculatus,Celastrus paniculatus|Bark,0.6857142857142857,0.6428571428571429,2,910.0,1,0.0,"{'Kavalactones and derivatives', 'Simple coumarins', 'Cholestane steroids', 'Cholane steroids', 'Prostaglandins', 'Wax monoesters', 'Dicarboxylic acids', 'Primary amides', 'Simple phenolic acids', 'Straight chain fatty acids', 'Piperidine alkaloids'}","{'Kavalactones and derivatives', 'Simple coumarins', 'Cholestane steroids', 'Prostaglandins', 'Straight chain fatty acids', 'Wax monoesters', 'Dicarboxylic acids', 'Primary amides', 'Cholane steroids', 'Piperidine alkaloids'}",1.0,2.642857142857143
22,LQ-01-61-19_pos.mzXML,Euonymus bockii,Euonymus bockii|Leaves,0.6525974025974026,0.6168831168831169,0,0.0,1,1.0,,,0.0,2.616883116883117
23,LQ-01-61-56_pos.mzXML,Maytenus undata,Maytenus undata|Roots,0.6613272311212814,0.6132723112128147,14,398.0,0,1.0,"{'Lupane triterpenoids', 'Abeolupane triterpenoids', 'Kaurane and Phyllocladane diterpenoids', 'Aminoacids', 'Phenylethanoids', 'Menthane monoterpenoids', 'Polyamines', 'Ursane and Taraxastane triterpenoids', 'Germacrane sesquiterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Limonoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Farnesane sesquiterpenoids', 'Furanoid lignans', 'Arylnaphthalene and aryltetralin lignans', 'Drimane sesquiterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Daucane sesquiterpenoids', 'Eremophilane sesquiterpenoids', 'Furofuranoid lignans', 'Tetracyclic diterpenoids', 'Trichothecane sesquiterpenoids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Imidazole alkaloids', 'Cholane steroids', 'Agarofuran sesquiterpenoids', 'Arteminisin', 'Totarane diterpenoids', 'Acyl phloroglucinols', 'Humulane sesquiterpenoids', 'Paraliane diterpenoids', 'Cyanogenic glycosides', 'Apocarotenoids (Ψ-)', 'Dipeptides', 'Dibenzocyclooctadienes lignans', 'Iridoids monoterpenoids', 'Pyridine alkaloids', 'Primary amides', 'Piperidine alkaloids', 'Fatty aldehydes'}","{'Lupane triterpenoids', 'Abeolupane triterpenoids', 'Kaurane and Phyllocladane diterpenoids', 'Aminoacids', 'Phenylethanoids', 'Menthane monoterpenoids', 'Polyamines', 'Ursane and Taraxastane triterpenoids', 'Germacrane sesquiterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Limonoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Farnesane sesquiterpenoids', 'Furanoid lignans', 'Arylnaphthalene and aryltetralin lignans', 'Drimane sesquiterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Daucane sesquiterpenoids', 'Eremophilane sesquiterpenoids', 'Furofuranoid lignans', 'Tetracyclic diterpenoids', 'Trichothecane sesquiterpenoids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Imidazole alkaloids', 'Cholane steroids', 'Agarofuran sesquiterpenoids', 'Arteminisin', 'Totarane diterpenoids', 'Acyl phloroglucinols', 'Humulane sesquiterpenoids', 'Paraliane diterpenoids', 'Cyanogenic glycosides', 'Apocarotenoids (Ψ-)', 'Dipeptides', 'Dibenzocyclooctadienes lignans', 'Iridoids monoterpenoids', 'Pyridine alkaloids', 'Primary amides', 'Piperidine alkaloids', 'Fatty aldehydes'}",1.0,2.613272311212815
27,LQ-01-61-73_pos.mzXML,Tripterygium hypoglaucum,Tripterygium hypoglaucum|Roots,0.6137724550898204,0.6017964071856288,267,1608.0,0,1.0,"{'Labdane diterpenoids', 'Lupane triterpenoids', 'Simple coumarins', 'Triketide meroterpenoids', 'Prostaglandins', 'Monacolins and Monacolin derivatives', 'Polyene macrolides', 'Germacrane sesquiterpenoids', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Purine nucleosides', 'Limonoids', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Norlabdane diterpenoids', 'Drimane sesquiterpenoids', 'Prenyl quinone meroterpenoids', 'Diacylglycerols', 'Lactarane sesquiterpenoids', 'Daucane sesquiterpenoids', 'Fatty alcohols', 'Purine alkaloids', 'Cannabinoids', 'Estrane steroids', '3-Decalinoyltetramic acids', 'Androstane steroids', 'Amino cyclitols', 'Monocyclic monoterpenoids', 'Jasmonic acids', 'Apocarotenoids (Ψ-)', 'Dipeptides', 'Primary amides', 'Monosaccharides', 'Piperidine alkaloids', 'Anthraquinones and anthrones'}","{'Simple coumarins', 'Triketide meroterpenoids', 'Prostaglandins', 'Monacolins and Monacolin derivatives', 'Polyene macrolides', 'Tetraketide meroterpenoids', 'Germacrane sesquiterpenoids', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Primary amides', 'Prenyl quinone meroterpenoids', 'Diacylglycerols', 'Lactarane sesquiterpenoids', 'Daucane sesquiterpenoids', 'Fatty alcohols', 'Purine alkaloids', 'Estrane steroids', '3-Decalinoyltetramic acids', 'Anthraquinones and anthrones', 'Androstane steroids', 'Monocyclic monoterpenoids', 'Jasmonic acids', 'Apocarotenoids (Ψ-)', 'Dipeptides', 'Amino cyclitols', 'Monosaccharides', 'Cannabinoids'}",1.0,2.6017964071856285
29,LQ-01-61-15_pos.mzXML,Euonymus alatus,Euonymus alatus|Stems,0.7096774193548387,0.5806451612903226,1,515.0,1,0.0,"{'Prostaglandins', 'Aminoacids', 'Quinoline alkaloids', 'Iridoids monoterpenoids', 'Amino fatty acids', 'Isoflavones', 'Flavones'}","{'Prostaglandins', 'Aminoacids', 'Quinoline alkaloids', 'Amino fatty acids', 'Iridoids monoterpenoids', 'Isoflavones', 'Flavones'}",1.0,2.5806451612903225
32,LQ-01-61-08_pos.mzXML,Celastrus paniculatus,Celastrus paniculatus|Leaves,0.696969696969697,0.5757575757575758,2,910.0,1,0.0,"{'Labdane diterpenoids', '12-oxophytodienoic acid metabolites', 'Simple coumarins', 'Cyclophytane diterpenoids', 'Quinazoline alkaloids', 'Aminoacids', 'Apocarotenoids (β-)'}","{'Labdane diterpenoids', '12-oxophytodienoic acid metabolites', 'Simple coumarins', 'Cyclophytane diterpenoids', 'Quinazoline alkaloids', 'Aminoacids', 'Apocarotenoids (β-)'}",1.0,2.5757575757575757
34,LQ-01-61-29_pos.mzXML,Euonymus alatus,Euonymus alatus|Bark,0.624113475177305,0.5673758865248227,1,515.0,1,0.0,"{'Lupane triterpenoids', 'Cyclophytane diterpenoids', 'Prostaglandins', 'Aminoacids', 'Germacrane sesquiterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Limonoids', 'Unsaturated fatty acids', 'Primary amides', 'Cholestane steroids', 'Spirostane steroids', 'Simple phenolic acids', 'Lactarane sesquiterpenoids', 'Depsides and depsidones', 'Cholane steroids', 'Aflatoxins', 'Cyanogenic glycosides', 'Dipeptides', 'Dammarane and Protostane triterpenoids', 'Pregnane steroids'}","{'Lupane triterpenoids', 'Cyclophytane diterpenoids', 'Prostaglandins', 'Aminoacids', 'Germacrane sesquiterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Limonoids', 'Unsaturated fatty acids', 'Cholestane steroids', 'Spirostane steroids', 'Simple phenolic acids', 'Lactarane sesquiterpenoids', 'Pregnane steroids', 'Depsides and depsidones', 'Cholane steroids', 'Aflatoxins', 'Cyanogenic glycosides', 'Dipeptides', 'Dammarane and Protostane triterpenoids', 'Primary amides'}",1.0,2.5673758865248226
36,LQ-01-61-31_pos.mzXML,Euonymus frigidus,Euonymus frigidus|Roots,0.601123595505618,0.5646067415730337,0,0.0,1,1.0,,,0.0,2.5646067415730336
42,LQ-01-61-22_pos.mzXML,Euonymus cochinchinensis,Euonymus cochinchinensis|Roots,0.5755968169761273,0.519893899204244,0,0.0,1,1.0,,,0.0,2.519893899204244
45,LQ-01-61-74_pos.mzXML,Tripterygium wilfordii,Tripterygium wilfordii|Roots,0.5349794238683128,0.49382716049382713,1169,1608.0,0,1.0,"{'Triketide meroterpenoids', 'Biaryl type diarylheptanoids', 'Simple coumarins', 'Prostaglandins', 'Aminoacids', 'Tetraketide meroterpenoids', 'Germacrane sesquiterpenoids', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Monoacylglycerols', 'Triacylglycerols', 'Isocoumarins', 'Cholestane steroids', 'Prenyl quinone meroterpenoids', 'Simple phenolic acids', 'Tetracyclic diterpenoids', 'N-acyl amines', 'Quassinoids', 'Cinnamic acids and derivatives', 'Beyerane diterpenoids', 'Jasmonic acids', 'Isoflavones', 'Primary amides', 'Cannabinoids', 'Purine nucleotides'}","{'Triketide meroterpenoids', 'Biaryl type diarylheptanoids', 'Simple coumarins', 'Prostaglandins', 'Aminoacids', 'Germacrane sesquiterpenoids', 'Tetraketide meroterpenoids', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Monoacylglycerols', 'Triacylglycerols', 'Isocoumarins', 'Cholestane steroids', 'Prenyl quinone meroterpenoids', 'Simple phenolic acids', 'Tetracyclic diterpenoids', 'N-acyl amines', 'Quassinoids', 'Cinnamic acids and derivatives', 'Beyerane diterpenoids', 'Jasmonic acids', 'Isoflavones', 'Primary amides', 'Cannabinoids', 'Purine nucleotides'}",1.0,2.493827160493827
46,LQ-01-61-54_pos.mzXML,Maytenus undata,Maytenus undata|Leaves,0.5665236051502146,0.49356223175965663,14,398.0,0,1.0,"{'Labdane diterpenoids', 'Abietane diterpenoids', 'Simple coumarins', 'Lupane triterpenoids', 'Irregular monoterpenoids', 'Furocoumarins', 'Ursane and Taraxastane triterpenoids', 'Germacrane sesquiterpenoids', 'Apocarotenoids (β-)', 'Unsaturated fatty acids', 'Flavones', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Triacylglycerols', 'Flavanones', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Prenyl quinone meroterpenoids', 'Straight chain fatty acids', 'Daucane sesquiterpenoids', 'Sphingoid bases', 'Trichothecane sesquiterpenoids', 'Hydroxy fatty acids', 'Imidazole alkaloids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Agarofuran sesquiterpenoids', 'Fusidane triterpenoids', 'Androstane steroids', 'Paraliane diterpenoids', 'Cyanogenic glycosides', 'Jasmonic acids', 'Megastigmanes', 'Primary amides'}","{'Labdane diterpenoids', 'Abietane diterpenoids', 'Simple coumarins', 'Lupane triterpenoids', 'Irregular monoterpenoids', 'Furocoumarins', 'Ursane and Taraxastane triterpenoids', 'Germacrane sesquiterpenoids', 'Apocarotenoids (β-)', 'Unsaturated fatty acids', 'Flavones', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Triacylglycerols', 'Flavanones', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Prenyl quinone meroterpenoids', 'Straight chain fatty acids', 'Daucane sesquiterpenoids', 'Sphingoid bases', 'Trichothecane sesquiterpenoids', 'Hydroxy fatty acids', 'Imidazole alkaloids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Agarofuran sesquiterpenoids', 'Fusidane triterpenoids', 'Androstane steroids', 'Paraliane diterpenoids', 'Cyanogenic glycosides', 'Jasmonic acids', 'Megastigmanes', 'Primary amides'}",1.0,2.4935622317596566
