row ID,row m/z,row retention time,LQ-01-61-08_pos.mzXML Peak area,LQ-01-61-09_pos.mzXML Peak area,LQ-01-61-15_pos.mzXML Peak area,LQ-01-61-05_pos.mzXML Peak area,LQ-01-61-12_pos.mzXML Peak area,LQ-01-61-22_pos.mzXML Peak area,LQ-01-61-27_pos.mzXML Peak area,LQ-01-61-10_pos.mzXML Peak area,LQ-01-61-06_pos.mzXML Peak area,LQ-01-61-02_pos.mzXML Peak area,LQ-01-61-01_pos.mzXML Peak area,LQ-01-61-16_pos.mzXML Peak area,LQ-01-61-13_pos.mzXML Peak area,LQ-01-61-04_pos.mzXML Peak area,LQ-01-61-03_pos.mzXML Peak area,LQ-01-61-11_pos.mzXML Peak area,LQ-01-61-42_pos.mzXML Peak area,LQ-01-61-28_pos.mzXML Peak area,LQ-01-61-21_pos.mzXML Peak area,LQ-01-61-23_pos.mzXML Peak area,LQ-01-61-47_pos.mzXML Peak area,LQ-01-61-18_pos.mzXML Peak area,LQ-01-61-26_pos.mzXML Peak area,LQ-01-61-29_pos.mzXML Peak area,LQ-01-61-44_pos.mzXML Peak area,LQ-01-61-46_pos.mzXML Peak area,LQ-01-61-30_pos.mzXML Peak area,LQ-01-61-17_pos.mzXML Peak area,LQ-01-61-32_pos.mzXML Peak area,LQ-01-61-25_pos.mzXML Peak area,LQ-01-61-14_pos.mzXML Peak area,LQ-01-61-62_pos.mzXML Peak area,LQ-01-61-57_pos.mzXML Peak area,LQ-01-61-60_pos.mzXML Peak area,LQ-01-61-39_pos.mzXML Peak area,LQ-01-61-33_pos.mzXML Peak area,LQ-01-61-77_pos.mzXML Peak area,LQ-01-61-38_pos.mzXML Peak area,LQ-01-61-43_pos.mzXML Peak area,LQ-01-61-07_pos.mzXML Peak area,LQ-01-61-61_pos.mzXML Peak area,LQ-01-61-36_pos.mzXML Peak area,LQ-01-61-48_pos.mzXML Peak area,LQ-01-61-49_pos.mzXML Peak area,LQ-01-61-20_pos.mzXML Peak area,LQ-01-61-19_pos.mzXML Peak area,LQ-01-61-40_pos.mzXML Peak area,LQ-01-61-24_pos.mzXML Peak area,LQ-01-61-34_pos.mzXML Peak area,LQ-01-61-51_pos.mzXML Peak area,LQ-01-61-31_pos.mzXML Peak area,LQ-01-61-76_pos.mzXML Peak area,LQ-01-61-64_pos.mzXML Peak area,LQ-01-61-52_pos.mzXML Peak area,LQ-01-61-68_pos.mzXML Peak area,LQ-01-61-50_pos.mzXML Peak area,LQ-01-61-78_pos.mzXML Peak area,LQ-01-61-63_pos.mzXML Peak area,LQ-01-61-67_pos.mzXML Peak area,LQ-01-61-54_pos.mzXML Peak area,LQ-01-61-69_pos.mzXML Peak area,LQ-01-61-53_pos.mzXML Peak area,LQ-01-61-45_pos.mzXML Peak area,LQ-01-61-59_pos.mzXML Peak area,LQ-01-61-58_pos.mzXML Peak area,LQ-01-61-41_pos.mzXML Peak area,LQ-01-61-66_pos.mzXML Peak area,LQ-01-61-35_pos.mzXML Peak area,LQ-01-61-71_pos.mzXML Peak area,LQ-01-61-72_pos.mzXML Peak area,LQ-01-61-70_pos.mzXML Peak area,LQ-01-61-65_pos.mzXML Peak area,LQ-01-61-75_pos.mzXML Peak area,LQ-01-61-37_pos.mzXML Peak area,LQ-01-61-73_pos.mzXML Peak area,LQ-01-61-74_pos.mzXML Peak area,LQ-01-61-55_pos.mzXML Peak area,LQ-01-61-56_pos.mzXML Peak area
11,105.0334407,2.1887083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18563.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405298.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,105.0335776,3.9269035,0,0,0,0,0,0,0,0,0,0,67929.37,0,0,20285.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39647.645,0,0,0,0,0,0,0,0,0,0,66799.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114838.9
13,105.0339535,4.0343456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445400.6,0,0,0,0,0,70653.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26637.385,217231.5
14,105.0339919,4.4938364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315872.4,0,0,0,0,0,16947.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28275.232,0,0,0,0,0,0,0,0,0,0,0,93881.3,785087.7
15,106.0401764,0.2975476,0,0,0,0,0,0,0,134395.39,0,0,108141.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79648.64,89537.29,0,0,123191.44,0,0,97441.805,0,124139.445,0,0,0,0,0,0,0,73439.83,119041.945,0,107024.83,0,0,83451.15,0,0,0,0,0,0,0,0,0,0,43937.934,0,0,0,103830.055,0,0,0,0,80867.39,0,0
16,106.9785937,0.374389,33727.29,0,0,0,0,48439.07,33140.023,0,35407.008,35097.39,0,0,30676.676,0,0,29539.057,0,0,30298.008,0,0,26539.621,48850.934,0,45260.19,35773.336,37129.777,0,36631.207,41456.547,27955.32,50638.477,24573.053,0,52505.047,0,0,43881.496,45856.38,35502.59,48453.082,41906.227,40284.29,35988.81,48490.31,36919.812,45528.723,39530.043,48105.91,0,0,58895.926,45131.145,0,54629.67,45036.945,74553.83,46714.03,49946.207,48192.535,49263.906,46827.656,0,28117.691,46473.133,36180.332,58716.29,45243.336,0,47759.41,50478.434,34252.234,45741.133,0,38253.367,39680.508,39562.992,0
17,107.0490883,2.7598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74436.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,107.0491243,1.7147833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16614.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,107.0604895,0.35035026,800819.06,843540.06,877552.2,749651.7,872276.7,845895.75,794677.1,840852.7,713285.8,793080.44,528676.25,883380.2,911290.1,700494,834061.2,813913.6,863737.1,763471.9,847172,916878.2,882621.2,817479.7,908953.4,903479.2,838723.8,893899.1,928102.25,837895.1,901952.5,784590.75,805016.9,802676,893204.4,902042.9,697811.94,929736.94,831257.44,892745.06,811124.6,918132.94,735908.4,820280.56,856285.44,844522.1,813959.2,740518.06,810394.44,904094.56,853215.2,762157.75,813066.9,730053.6,793520.44,820901.94,733625.4,941308.3,691314.1,767282.75,700331.44,817182.6,794209.5,917828.5,685833.25,744916,746230.25,862570.6,871758.8,837200.8,735492.25,754100.75,859905.4,806950.75,683978.7,869409.7,822673.1,715279.56,697230.8,728083.9
20,107.0855462,3.94934,0,0,0,0,0,0,0,0,0,0,529167.3,225169.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417362.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311297.8,0,0,0,0,0,0,0,170307.81,0,0,0,0,0,0
21,107.0856793,5.2995553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468409.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124385.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21967.268,0
22,108.0558816,0.5433084,0,0,0,0,0,46382.684,0,0,0,0,0,0,0,0,0,0,38460.53,0,0,0,0,35168.695,0,0,0,0,0,0,38122.688,0,0,38549.492,0,0,0,0,0,0,0,39104.426,0,0,0,0,0,0,0,42385.984,0,0,0,0,0,0,0,0,31001.057,0,31522.762,0,0,0,43528.61,0,30860.066,39025.85,0,38768.027,0,0,0,0,0,0,0,0,31343.176,0
23,109.0646969,4.0428834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47519.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,109.1009336,3.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48576.445,0,0,0,0,0,23467.22,0,0,0,15904.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167528.22,0,109785.15,0,0,100171.01,0,28197.338,0,0,0,0,0,0,0,0
25,109.1011092,2.9433093,0,0,0,0,28871.973,35982.426,0,51011.71,0,0,0,50773.41,0,0,0,0,0,0,51766.69,0,0,0,47395.28,0,0,0,0,30974.266,20712.906,272698.88,0,0,0,0,36618.094,49313.74,0,58748.71,0,75321.21,0,0,0,33015.387,46114.31,74983.195,116215.164,146090.02,91262.81,0,0,0,0,39083.21,0,0,0,0,0,0,0,0,0,35099.254,54752.473,0,0,66701.555,0,128821.83,0,0,0,32314.684,0,0,0,0
26,109.1014124,5.9351163,0,0,0,0,0,0,0,0,0,0,0,0,29086.57,0,0,41659.336,0,0,0,0,0,0,0,79443.08,38584.88,0,24093.15,0,0,0,444295.7,0,0,0,0,39520.09,0,0,74973.164,23869.164,0,37510.83,0,0,62635.586,23618.238,0,0,18659.863,0,0,0,0,0,0,0,0,0,385387.66,67819.15,296620.94,33632.72,0,0,25547.186,0,306898.66,19946.61,75619.34,0,0,0,0,0,0,19963.14,0,82669.85
27,109.1010864,4.217127,0,0,0,0,0,0,0,0,0,0,0,33897.77,0,0,0,62246.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12539.469,38976.133,0,0,0,0,0,0,0,0,0,0,0,0,140906.19,0
28,109.1010831,4.710064,0,0,74566,0,0,0,54444.758,96800.6,0,0,133477.19,310649.25,103464.76,71122.51,37695.938,221383.77,0,0,0,0,0,0,80570.53,0,0,65142.387,153037.75,0,0,87966.32,25649.43,0,0,0,0,35227.51,0,204589.8,101425.94,44110.035,0,99906.875,0,33118.574,74115.21,185407.4,122637.14,0,92810.9,151247.72,45888.96,0,53451.94,90619.1,0,0,0,54461.527,0,0,0,151139,60781.473,113105.5,135422.1,0,39027.375,269227.84,36017.535,0,0,184815.94,0,84121.3,54438.426,57574.77,159700.28,526817.6
29,109.1012343,6.2776685,0,0,0,0,0,0,0,38359.69,31508.672,0,42645.133,0,28240.672,77573.305,52102.34,0,0,0,0,0,23349.88,0,28684.553,78221.61,103466.11,0,0,16101.029,0,0,62366.945,0,0,0,64377.39,28380.012,0,18521.48,53311.586,20576.832,32970.816,27944.41,0,0,0,22867.305,50155.332,17951.277,0,40754.44,0,0,0,50946.035,0,0,0,0,953810.75,0,99962.664,56123.21,0,32814.46,24603.361,102477.11,364045.47,0,16127.0205,0,0,75799.79,0,0,0,0,0,45900.74
30,109.1012203,6.507593,0,0,0,0,0,0,0,0,18905.814,0,0,0,0,18464.422,20440.36,0,0,0,0,0,0,0,0,87054.75,190248.02,0,0,0,0,0,0,0,0,0,0,0,0,0,47785.742,0,0,57541.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57988.754,0,0,0,0,0,57530.332,0,0,0,0,0,0
31,109.1012171,2.155411,0,0,114978.76,0,60952.227,105398.08,78325.52,62926.805,0,0,0,77542.45,130524.28,37227.12,0,0,0,0,135874.72,0,150255.81,0,85109.21,0,0,59733.45,0,81804.41,94974.79,656734.2,0,0,0,0,60801.96,61743.945,0,76732.555,0,190172.64,0,61507.88,53616.625,154749.19,138090.52,187041.78,82773.2,272647.12,290033.2,54995.23,71809.3,0,44709.56,65385.953,0,142549.11,0,117822.52,0,0,0,77621.05,135870.64,91499.07,113847.98,0,0,332866.84,41059.754,134515.12,0,26064.53,0,43261,79791.484,36016.805,0,0
32,109.1012288,2.5464919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23242.443,0,38457.008,0,0,0,0,0,0,0,0,0,28449.06,0,0,0,0,55139.645,0,0,0,18231.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96295.18,0,0,0,0,0,0,0,0
33,109.1012418,3.2030208,0,0,0,0,39878.098,0,0,0,0,0,0,32587.264,0,0,0,0,0,0,29295.164,0,0,0,34419.906,0,0,0,0,0,0,124117.18,0,0,0,0,28790.936,0,0,60167.86,0,86623.125,0,27362.145,0,0,25870.266,80142.64,41115.9,74728.92,22931.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32261.566,0,0,0,0,94338.33,0,0,0,51380.94,0,0,0,0
34,109.1012608,5.15102,0,0,0,0,0,0,0,91706.69,0,0,0,0,63840.266,0,0,876866.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70789.95,0,0,0,0,0,0,0,0,0,0,28805.918,0
35,109.1012952,5.797373,0,0,0,0,0,0,0,0,0,0,0,0,92343.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68433.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34150.812,0,0,0,0,339907.7,46895.81,83370.33,0,0,0,0,0,0,0,0,188714.06,76600.836
36,109.1013061,4.9866915,0,0,153144.53,0,96093.65,0,214756.55,160885.78,0,0,148860.8,208344.16,292733.16,64872.2,0,387624.66,0,0,30269.41,0,147153.16,0,197099.06,78307.57,147306.9,763937.7,171106.78,0,40670.457,367881.06,0,0,0,0,287825.3,171017.77,0,193676,58597.117,37679.113,91379.49,74766.01,311201.75,487366.9,0,510771.78,262802.72,131795.12,0,303590.06,0,0,204038.75,322528.97,0,170109.06,0,350875.8,33797.6,51737.11,36439.453,282656.38,106599.46,425619.03,524952.9,0,262092.9,313701.7,200693.69,0,0,167498.06,0,0,0,0,289454.38,298467.75
37,109.101339,1.7256833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70545.67,0,0,0,0,0,0,0,0
38,109.1014538,5.3019934,0,0,0,0,0,0,0,0,35324.61,0,0,0,58465.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18558.174,0,0,0,0,16027.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153224.84,42437.637,0,0,0,35821.008,87072.44,0,0,0,0,0,0,0,0,163575.83,186202.83,0,0
39,110.020204,6.401802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26258.662,0,0,0,0,37692.4,53345.39,0,0,93648.625,0,0,0,18048.996,33033.95,0,0,0,0,0,18710.66,0,0,0,105258.21,0,0,0,0,51812.84,0,0,0,0,15656.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,110.0202999,6.056383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63815.145,20631.395,41709.766,0,0,112792.54,0,0,0,36168.71,19280.758,0,0,0,0,0,0,0,0,0,174908.05,0,0,0,0,89900.8,30728.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,110.02026,6.8873706,0,67690.06,59900.113,0,0,47098.28,0,0,0,0,0,47065.96,70002.67,0,0,0,63457.71,0,106404.85,0,83111.695,0,239041.28,60155.668,34939.87,44370.81,0,0,0,165215.36,0,0,0,69599.78,0,0,48196.094,0,0,72464.16,44623.426,0,0,0,0,0,142996.16,28688.26,18726.988,0,28673.662,0,0,0,0,0,0,0,0,29595.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,110.0202607,6.759502,0,47485.89,107974.72,0,0,113568.88,0,0,146573.66,0,0,156928.3,124968.39,0,0,0,41288.8,208319.1,109181.82,182506.31,133489.62,160287.69,0,109963.15,102571.54,88721.54,183540.58,160177.97,0,0,68971.17,45402.477,134216.47,117516.08,0,0,57111.094,95085.38,0,141254.12,124403.42,148491.58,0,0,132626.28,0,0,174763.9,146516.5,0,197893.78,0,0,180862.22,0,0,65438.133,52562.19,0,120617.71,0,141702.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,110.0202484,6.609195,0,0,0,0,0,21943.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34019.766,0,0,0,0,0,22888.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35732.79,0,0,23293.266,0,0,0,0,0,22059.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,110.0202707,6.2420278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43908.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24440.395,135220.4,0,0,114579.12,0,0,0,39830.12,0,0,0,0,0,0,0,0,0,0,0,0,21021.574,0,0,68222.59,37154.74,0,21264.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,110.0713817,0.3367611,791912.6,658150.06,718975.25,421342.06,768613.2,519421.56,535164.25,417763.28,0,804140.44,670312.75,992955.7,649321.75,417380.84,900586.9,692540,598951.44,601607.75,350979.53,704821.25,475862.3,686947.5,479783.97,383845.62,348349.66,571528.5,565004.3,1112139.6,584365.5,620807.06,774231.7,623749.75,547208.06,328975.94,373505.28,840985.44,656515.9,948199.6,705056.75,810950.75,507222.8,952348.4,627214.4,368854.7,528500.1,406072.84,432884.16,723429.4,619786.56,811185.44,437552.34,477362.78,500149.06,365810.3,0,700741.4,511205.53,514926.44,350549.2,448530.78,574576.06,656968.3,414326.44,361614.7,545847.7,0,668791.8,532716.25,490353.2,470108.2,529729,568050.5,483523.56,378106.5,679527.2,508297.97,444089.12,446286.6
46,111.0202786,0.37543336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25609.297,24940.84,0,0,0,0,33146.055,0,34305.332,22326.076,0,36268.4,31651.639,44507.816,46873.19,0,0,0,0,0,0,0,0,0,0,38988.96,0,0,33722.727,0,0,0,0,0
47,111.0917806,0.3385254,1063094.4,717939.2,624163.5,273410,1008516.4,320411.12,310341.97,234828.34,268323.22,1181300.9,868776.6,1244614,626533.25,408979.06,1109124.5,886067.6,340560.1,331081.66,364271.34,719621.75,0,721933.1,466210.88,224192.25,365542.62,522091,322769,1534840.5,377290.44,0,908092.4,727505.5,520047.44,293271.34,371339.7,1267035.5,776763.2,1159167.4,893479.4,903376.9,282306.75,1239899.6,503253.7,477520.22,361212.25,346422.3,0,763840.25,584215.4,1005399.5,428268.38,378451.7,357900.84,0,477452,787169.56,0,301597.3,346164.38,469559.12,510783.53,698340.44,384654.8,367864.3,296999.34,639527.5,862509.25,329180.8,269237.7,302652.28,522103.7,732807.7,0,406967.88,666228.06,0,366252.53,287527.62
48,113.0232678,1.1418166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65305.91,0,0,0
