	annotation network number	LQ-01-61-23_pos.mzXML	retention time (min)	row m/z	row ID	adduct (ion identity)	neutral mass (ion identity)	annotation	status
12710	93x	0.0003450033361155008	1.24	123.044	{93}	{nan}	0.0	annotated	not interesting
7164	2379x	0.00032954548768571667	1.28	224.5406	{2379}	{nan}	0.0	non anotated	not interesting
6851	1999x	0.0003871007470077008	1.28	215.052	{1999}	{nan}	0.0	non anotated	not interesting
7611	2921x	0.003073292192497504	1.28	243.0343	{2921}	{nan}	0.0	non anotated	not interesting
7627	2949x	0.0005173926453441939	1.28	243.5359	{2949}	{nan}	0.0	non anotated	not interesting
6426	1597x	0.00027388745927782037	1.29	204.0268	{1597}	{nan}	0.0	non anotated	not interesting
72	113.0	0.0005007109987807216	1.29	213.0324	{1931}	{'[M+ACN+K]+'}	133.0417	non anotated	not interesting
8678	4358x	0.0018454830586684913	1.29	282.0414	{4358}	{nan}	0.0	non anotated	not interesting
71	111.0	0.0022914134310352435	1.29	235.0452	{2677, 229}	{'[2M-2H2O+K]+', '[M+Na]+'}	116.0506	non anotated	not interesting
9029	4779x	0.00041312461223758974	1.29	290.0749	{4779}	{nan}	0.0	non anotated	not interesting
9070	4822x	0.019414266443318562	1.29	291.0863	{4822}	{nan}	0.0	annotated	not interesting
12078	8606x	0.00031572021947243856	1.29	369.0636	{8606}	{nan}	0.0	non anotated	not interesting
73	115.0	0.0026654513002801737	1.29	311.0525	{5744, 6035, 4700}	{'[M+H]+', '[M+Na]+', '[M+NH4]+'}	288.0633	non anotated	not interesting
10550	6636x	0.00027775008231858706	1.32	320.0766	{6636}	{nan}	0.0	non anotated	not interesting
11269	7555x	0.00018257828735145152	1.32	339.1075	{7555}	{nan}	0.0	annotated	not interesting
84	136.0	0.00021731869418485848	1.34	409.1832	{9513, 9691, 9092, 9692}	{'[M+H]+', '[M+Na]+', '[M+NH4]+'}	386.1939	annotated	not interesting
6633	1730x	0.00035259896443452457	1.38	207.138	{1730}	{nan}	0.0	non anotated	not interesting
8523	413x	0.00036565098441621003	1.44	153.0547	{413}	{nan}	0.0	annotated	not interesting
7810	3198x	0.00012827245051004766	1.44	251.1618	{3198}	{nan}	0.0	non anotated	not interesting
3246	11296x	0.00040117491424814916	1.48	449.1076	{11296}	{nan}	0.0	annotated	not interesting
112	180.0	0.00020823022385150407	1.55	183.0653	{977, 455}	{'[M+HFA+NH4]+', '[2M+H]+'}	91.0301	annotated	not interesting
12819	952x	0.00022671314405971592	1.56	181.1222	{952}	{nan}	0.0	non anotated	not interesting
115	184.0	0.0002400924613236575	1.57	194.1152	{1293, 727}	{'[M+H]+', '[M+Na]+'}	171.1259	non anotated	not interesting
116	185.0	0.0004947010146100014	1.57	247.1305	{1123, 2412, 3055}	{'[M+H]+', '[M-2H2O+H]+', '[M+Na]+'}	224.1413	non anotated	not interesting
6634	1731x	0.0010034298296884145	1.58	207.138	{1731}	{nan}	0.0	non anotated	not interesting
6715	1836x	0.0001723438855677739	1.58	209.1536	{1836}	{nan}	0.0	annotated	not interesting
8703	4385x	0.0008937082822654311	1.59	283.0378	{4385}	{nan}	0.0	non anotated	not interesting
10625	6729x	0.0005628354771402621	1.59	322.0449	{6729}	{nan}	0.0	non anotated	not interesting
8114	3631x	0.00033776063712416234	1.6	264.5441	{3631}	{nan}	0.0	non anotated	not interesting
120	190.0	0.00045755958405095323	1.6	471.0895	{12176, 11245}	{'[M+ACN+H]+', '[M+NH4]+'}	429.0569	non anotated	not interesting
3658	11864x	0.001034253718967552	1.62	463.1234	{11864}	{nan}	0.0	non anotated	not interesting
123	195.0	0.009770756355027131	1.62	449.1074	{11294}	{'[M+H]+'}	448.1002	annotated	not interesting
135	216.0	0.024520297470029866	1.65	455.0943	{11523, 10629, 10630}	{'[M+H]+', '[M+Na]+'}	432.1052	annotated	not interesting
10203	6214x	0.0008516741284080105	1.66	314.0471	{6214}	{nan}	0.0	non anotated	not interesting
8444	4036x	0.0015934277300946964	1.66	275.0401	{4036}	{nan}	0.0	non anotated	not interesting
7944	3370x	0.0005961418406506528	1.66	256.5465	{3370}	{nan}	0.0	non anotated	not interesting
137	220.0	0.0005074958087507219	1.66	219.0994	{1985, 1394, 533, 886, 2169}	{'[M-H2O+H]+', '[M-2H2O+H]+', '[M+NH4]+', '[M+Na]+', '[M+H]+'}	196.1098	annotated	not interesting
7653	2980x	0.00025039313466819593	1.7	245.0384	{2980}	{nan}	0.0	non anotated	not interesting
6695	1804x	0.00022089003307008197	1.72	209.1154	{1804}	{nan}	0.0	non anotated	not interesting
154	247.0	0.0005490798756878683	1.72	169.1221	{694}	{'[M+NH4]+'}	151.0875	non anotated	not interesting
7134	2343x	0.00031175365872752105	1.74	223.1325	{2343}	{nan}	0.0	non anotated	not interesting
160	260.0	0.004916529137728291	1.75	469.1102	{12073, 11247}	{'[M+H]+', '[M+Na]+'}	446.121	non anotated	not interesting
162	262.0	0.00017827131150600572	1.76	247.1304	{3054, 1723, 1117, 2406}	{'[M-H2O+H]+', '[M+H]+', '[M-2H2O+H]+', '[M+Na]+'}	224.1411	non anotated	not interesting
4384	12929x	0.0005081942939919003	1.76	491.1183	{12929}	{nan}	0.0	non anotated	not interesting
168	275.0	0.004201850850135308	1.78	235.0731	{2688, 1986, 1395, 534, 888, 2168}	{'[M-H2O+H]+', '[M-2H2O+H]+', '[M+NH4]+', '[M+Na]+', '[M+K]+', '[M+H]+'}	196.1099	annotated	not interesting
169	276.0	0.000434890773176312	1.78	273.1672	{2912, 3988, 3215}	{'[M+H]+', '[2M-H2O+2H]2+', '[M+Na]+'}	250.1763	non anotated	not interesting
10576	6665x	0.00032474371459403196	1.78	321.0551	{6665}	{nan}	0.0	non anotated	not interesting
8452	4046x	0.0006467994939129701	1.78	275.131	{4046}	{nan}	0.0	non anotated	not interesting
170	281.0	0.0003363667703347563	1.79	249.1461	{1827, 2468, 3117}	{'[M-H2O+H]+', '[M+H]+', '[M+Na]+'}	226.1568	annotated	not interesting
7795	3178x	0.00017297762194385947	1.81	251.038	{3178}	{nan}	0.0	non anotated	not interesting
8344	3921x	0.0008337133831044083	1.81	271.5517	{3921}	{nan}	0.0	non anotated	not interesting
173	287.0	0.0002659091850571692	1.81	225.1113	{2396, 1037, 1039}	{'[M-H2O+H]+', '[M+Na]+'}	202.1203	non anotated	not interesting
2275	10039x	0.00021558028318297652	1.82	419.0971	{10039}	{nan}	0.0	annotated	not interesting
8009	3480x	0.0002538889972280507	1.83	260.0438	{3480}	{nan}	0.0	non anotated	not interesting
9027	4777x	0.0014187020259731307	1.83	290.0454	{4777}	{nan}	0.0	non anotated	not interesting
10898	7064x	0.0006265978137090723	1.83	329.0523	{7064}	{nan}	0.0	non anotated	not interesting
179	297.0	0.024681164790734695	1.83	485.1048	{12689, 11862}	{'[M+H]+', '[M+Na]+'}	462.1157	non anotated	specific non annotated
4043	12419x	0.0008850714764200385	1.83	477.1382	{12419}	{nan}	0.0	non anotated	not interesting
184	304.0	0.0001565930039400103	1.87	227.164	{2469, 1831}	{'[M-H2O+H]+', '[M-2H2O+H]+'}	244.1676	non anotated	not interesting
4386	12930x	0.001086821635224855	1.89	491.1185	{12930}	{nan}	0.0	non anotated	not interesting
11146	7385x	0.0002960316397294513	1.89	335.0531	{7385}	{nan}	0.0	non anotated	not interesting
9284	5099x	0.0005962954477304995	1.89	296.046	{5099}	{nan}	0.0	non anotated	not interesting
190	313.0	0.006467222273912254	1.9	497.1058	{13121, 12341}	{'[M+H]+', '[M+Na]+'}	474.1166	non anotated	not interesting
10507	6574x	0.0003256889519985273	1.91	319.0817	{6574}	{nan}	0.0	non anotated	not interesting
7188	2407x	0.0002548362717525601	1.94	225.1484	{2407}	{nan}	0.0	non anotated	not interesting
6627	1725x	0.00013573797064878065	1.94	207.1378	{1725}	{nan}	0.0	non anotated	not interesting
3248	11298x	0.0005456236992438427	1.96	449.108	{11298}	{nan}	0.0	annotated	not interesting
4338	12860x	0.0002474491738753778	2.0	489.1392	{12860}	{nan}	0.0	non anotated	not interesting
3210	11248x	6.277800292162113e-05	2.0	447.1288	{11248}	{nan}	0.0	non anotated	not interesting
10065	6032x	0.0014195619375426947	2.03	311.0512	{6032}	{nan}	0.0	non anotated	not interesting
11604	7974x	0.0005923606509680232	2.03	350.0584	{7974}	{nan}	0.0	non anotated	not interesting
5677	14829x	0.00029447608939953693	2.03	591.1714	{14829}	{nan}	0.0	non anotated	not interesting
2695	10572x	0.0005289685626765126	2.03	431.0975	{10572}	{nan}	0.0	non anotated	not interesting
2745	10631x	0.0012226870802017871	2.03	433.113	{10631}	{nan}	0.0	annotated	not interesting
8347	3924x	0.00046162411860826313	2.03	272.0441	{3924}	{nan}	0.0	non anotated	not interesting
9127	4898x	0.00043198107303827547	2.03	292.5576	{4898}	{nan}	0.0	non anotated	not interesting
9693	558x	0.00018337231832258138	2.04	163.0753	{558}	{nan}	0.0	annotated	not interesting
4678	13380x	0.026443246166921223	2.04	505.1341	{13380}	{nan}	0.0	non anotated	specific non annotated
3995	12342x	0.0017338427088080394	2.05	475.1239	{12342}	{nan}	0.0	non anotated	not interesting
9492	535x	8.01732793760732e-05	2.05	161.096	{535}	{nan}	0.0	non anotated	not interesting
4336	12859x	0.0001589816334708187	2.06	489.1031	{12859}	{nan}	0.0	non anotated	not interesting
9720	5616x	0.0003436265276340912	2.06	304.0436	{5616}	{nan}	0.0	non anotated	not interesting
2274	10038x	0.00013711812288778907	2.09	419.097	{10038}	{nan}	0.0	non anotated	not interesting
12289	8867x	0.00022093047710430015	2.12	379.1362	{8867}	{nan}	0.0	non anotated	not interesting
232	387.0	0.0011382812072967404	2.15	651.1486	{15322, 7478, 6263}	{'[2M+Na]+', '[M+H]+', '[M+Na]+'}	314.0795	annotated	not interesting
236	395.0	0.00030140267469172673	2.16	195.0996	{743, 1308, 1150, 463}	{'[M-H2O+H]+', '[M+H]+', '[M+Na]+', '[M+NH4]+'}	172.11	non anotated	not interesting
245	416.0	9.5614700524936e-05	2.17	247.1305	{3056, 2405}	{'[M+H]+', '[M+Na]+'}	224.1412	non anotated	not interesting
246	418.0	0.09429620031705963	2.18	497.1063	{13122, 12340}	{'[M+H]+', '[M+Na]+'}	474.1168	non anotated	specific non annotated
3659	11865x	0.0007433451617138183	2.18	463.124	{11865}	{nan}	0.0	non anotated	not interesting
8154	3678x	0.0010354534934889532	2.19	266.0448	{3678}	{nan}	0.0	non anotated	not interesting
5391	14431x	0.0003682790269910929	2.19	559.0769	{14431}	{nan}	0.0	non anotated	not interesting
9287	5100x	0.0024410641083011373	2.19	296.0466	{5100}	{nan}	0.0	non anotated	not interesting
7811	3199x	9.176915979863049e-05	2.19	251.1625	{3199}	{nan}	0.0	non anotated	not interesting
2696	10573x	0.006817344217012532	2.22	431.1344	{10573}	{nan}	0.0	non anotated	not interesting
254	432.0	0.00028091991307983085	2.23	249.1469	{1834, 3124, 1167}	{'[M-H2O+H]+', '[M-2H2O+H]+', '[M+Na]+'}	226.1571	non anotated	not interesting
13178	9991x	0.0008618932346441079	2.24	417.1183	{9991}	{nan}	0.0	non anotated	not interesting
4339	12861x	0.002439299461662711	2.26	489.1407	{12861}	{nan}	0.0	non anotated	not interesting
3625	11810x	0.0022769164756545075	2.26	461.1448	{11810}	{nan}	0.0	non anotated	not interesting
262	444.0	0.00024184733390141046	2.27	191.1043	{1160, 401, 695}	{'[2M+2H]2+', '[M+Na]+', '[2M-2H2O+2H]2+'}	168.115	non anotated	not interesting
12770	9469x	0.00020976940177241674	2.28	403.1033	{9469}	{nan}	0.0	non anotated	not interesting
10066	6033x	0.0026256971432707926	2.28	311.0521	{6033}	{nan}	0.0	non anotated	not interesting
8348	3925x	0.000626450414015127	2.28	272.0447	{3925}	{nan}	0.0	non anotated	not interesting
266	449.0	0.11596643828138327	2.29	1009.2654	{13880, 13381, 16111}	{'[M+H]+', '[M+Na]+', '[2M+H]+'}	504.1283	non anotated	specific non annotated
8638	4294x	0.0012132659488560385	2.32	281.0506	{4294}	{nan}	0.0	non anotated	not interesting
9128	4899x	0.0018118169411354191	2.32	292.5584	{4899}	{nan}	0.0	non anotated	not interesting
3209	11246x	0.00046795801857919583	2.33	447.127	{11246}	{nan}	0.0	non anotated	not interesting
11605	7975x	0.00025585572342827414	2.33	350.0593	{7975}	{nan}	0.0	non anotated	not interesting
4912	13726x	0.0009938101991736209	2.34	519.1512	{13726}	{nan}	0.0	non anotated	not interesting
281	468.0	0.0002689853391632217	2.34	227.1274	{697, 2457, 1086}	{'[M-2H2O+H]+', '[M+Na]+', '[2M-2H2O+2H]2+'}	204.1368	non anotated	not interesting
6713	1832x	0.0009047440541394811	2.35	209.1536	{1832}	{nan}	0.0	non anotated	not interesting
7473	2762x	0.0002619310051832827	2.37	237.1485	{2762}	{nan}	0.0	non anotated	not interesting
289	480.0	0.0009074127499477757	2.37	191.1429	{1174}	{'[M+HFA+H]+'}	144.1284	non anotated	not interesting
4888	13691x	0.0002073319122267261	2.39	517.1339	{13691}	{nan}	0.0	non anotated	not interesting
298	496.0	0.00016743339748544078	2.42	229.12	{1732, 2525}	{'[M+H]+', '[M+Na]+'}	206.1308	non anotated	not interesting
7983	3426x	0.00018430250024414468	2.43	258.1124	{3426}	{nan}	0.0	non anotated	not interesting
7950	3377x	0.000581107894947023	2.44	257.1284	{3377}	{nan}	0.0	non anotated	not interesting
11781	821x	0.0003225708551689533	2.47	177.0546	{821}	{nan}	0.0	non anotated	not interesting
306	510.0	0.0006054801153978503	2.47	329.1013	{7069, 6838}	{'[M+NH4]+', '[M+Na]+'}	306.1109	non anotated	not interesting
11062	7271x	0.00021139056177066218	2.53	332.0565	{7271}	{nan}	0.0	non anotated	not interesting
3997	12344x	0.0006308712045102462	2.53	475.1597	{12344}	{nan}	0.0	non anotated	not interesting
3993	12339x	0.0028092174443014647	2.54	475.1235	{12339}	{nan}	0.0	non anotated	not interesting
9283	5098x	0.00018237824490966858	2.54	296.046	{5098}	{nan}	0.0	non anotated	not interesting
5260	14243x	0.0020735151864948753	2.54	547.1443	{14243}	{nan}	0.0	non anotated	not interesting
4911	13725x	0.000960656413894585	2.55	519.1494	{13725}	{nan}	0.0	non anotated	not interesting
5614	14743x	0.00029004662228213567	2.62	583.1448	{14743}	{nan}	0.0	non anotated	not interesting
9525	5393x	0.0004980207657439958	2.62	301.0708	{5393}	{nan}	0.0	annotated	not interesting
4676	13379x	0.003413684658359	2.64	505.1339	{13379}	{nan}	0.0	non anotated	not interesting
5018	13879x	8.322689141166737e-05	2.64	527.1158	{13879}	{nan}	0.0	non anotated	not interesting
10064	6031x	0.00029700887432204605	2.64	311.0511	{6031}	{nan}	0.0	non anotated	not interesting
9126	4897x	8.948338768105636e-05	2.64	292.5574	{4897}	{nan}	0.0	non anotated	not interesting
8346	3923x	0.00010371925560948802	2.64	272.044	{3923}	{nan}	0.0	non anotated	not interesting
3287	11344x	0.00023592000055954295	2.65	451.1022	{11344}	{nan}	0.0	non anotated	not interesting
7755	3126x	8.606342327445206e-05	2.69	249.1473	{3126}	{nan}	0.0	non anotated	not interesting
5489	14572x	0.0005401605480465888	2.7	569.1438	{14572}	{nan}	0.0	non anotated	not interesting
8785	4483x	0.0005322709262709931	2.7	285.0756	{4483}	{nan}	0.0	non anotated	not interesting
7814	3200x	0.0007303972406225473	2.7	251.1626	{3200}	{nan}	0.0	non anotated	not interesting
4252	1271x	0.00019977586713868225	2.71	193.1587	{1271}	{nan}	0.0	non anotated	not interesting
11167	7424x	0.0002592717747811141	2.73	335.2208	{7424}	{nan}	0.0	non anotated	not interesting
7801	3183x	0.00035921041343363303	2.74	251.0913	{3183}	{nan}	0.0	non anotated	not interesting
9183	4962x	0.00014850825075943315	2.75	293.211	{4962}	{nan}	0.0	annotated	not interesting
376	626.0	0.001445870690920002	2.77	707.1385	{7712, 8492, 15558}	{'[2M+Na]+', '[M+H]+', '[M+Na]+'}	342.0743	non anotated	not interesting
6629	1727x	0.00021544522967093446	2.79	207.1379	{1727}	{nan}	0.0	non anotated	not interesting
9272	5087x	0.0005887052894559579	2.82	295.5599	{5087}	{nan}	0.0	non anotated	not interesting
5359	1437x	0.0007136124005553333	2.82	199.0749	{1437}	{nan}	0.0	non anotated	not interesting
385	638.0	0.0022902795028173265	2.82	533.1209	{14000, 13526}	{'[M+H]+', '[M+Na]+'}	510.1317	annotated	not interesting
389	644.0	0.0002158019314430902	2.83	391.2095	{8045, 9163, 9076, 8037}	{'[M+NH4]+', '[M+Na]+', '[2M-2H2O+2H]2+'}	368.2192	non anotated	not interesting
8909	4628x	0.00027030075625511724	2.83	287.2369	{4628}	{nan}	0.0	annotated	not interesting
7609	2919x	0.00016070932387141461	2.87	242.646	{2919}	{nan}	0.0	non anotated	not interesting
7340	2590x	0.00018784429060067964	2.9	231.138	{2590}	{nan}	0.0	non anotated	not interesting
405	671.0	0.012084786482331404	2.9	203.1039	{946, 1549, 566, 1426}	{'[M-H2O+H]+', '[M+H]+', '[M+Na]+', '[M+NH4]+'}	180.1147	non anotated	not interesting
404	668.0	0.00036591615639702775	2.9	353.2301	{6184, 7240, 5066, 8119, 7928, 8122, 7165}	{'[M-H2O+H]+', '[M-2H2O+H]+', '[M+NH4]+', '[M+Na]+', '[M+H]+', '[M-H2O+NH4]+'}	330.2404	annotated	not interesting
7996	3447x	0.0008061775907206631	2.9	259.1359	{3447}	{nan}	0.0	non anotated	not interesting
11669	8066x	0.00034275250712220793	2.91	352.0865	{8066}	{nan}	0.0	non anotated	not interesting
6111	15547x	0.0004713721837098006	2.91	703.1656	{15547}	{nan}	0.0	non anotated	not interesting
7765	3140x	0.00015890113636480926	2.92	249.1846	{3140}	{nan}	0.0	non anotated	not interesting
11168	7425x	0.00014621593516545028	2.93	335.221	{7425}	{nan}	0.0	non anotated	not interesting
5048	13923x	0.0009573387204575745	2.95	529.1495	{13923}	{nan}	0.0	annotated	not interesting
4771	13527x	0.0007786712234037874	2.95	511.1391	{13527}	{nan}	0.0	annotated	not interesting
7427	2706x	0.00034111019056947317	2.95	235.1692	{2706}	{nan}	0.0	annotated	not interesting
421	700.0	0.00013982496839816467	2.95	249.148	{3132, 1166}	{'[M-2H2O+H]+', '[M+Na]+'}	226.1577	annotated	not interesting
7781	3164x	0.006321429641311338	2.97	249.6357	{3164}	{nan}	0.0	non anotated	not interesting
7595	2904x	0.0010361937156839547	2.97	241.6469	{2904}	{nan}	0.0	non anotated	not interesting
4976	13819x	0.0015842301675262468	2.97	524.3261	{13819}	{nan}	0.0	non anotated	not interesting
8414	4003x	0.005215968975267094	2.97	273.2214	{4003}	{nan}	0.0	annotated	not interesting
427	711.0	0.0008723326173423298	2.97	453.2071	{9322, 11435}	{'[M-H2O+H]+', '[M+K]+'}	414.2426	non anotated	not interesting
6089	15508x	0.000300237915314001	2.97	692.441	{15508}	{nan}	0.0	non anotated	not interesting
425	709.0	0.004381144161431792	2.97	359.2194	{5433, 6613, 8335}	{'[M-H2O+H]+', '[M-2H2O+H]+', '[M+Na]+'}	336.2302	annotated	not interesting
4881	13684x	0.00044820578740950725	2.97	516.3372	{13684}	{nan}	0.0	non anotated	not interesting
7285	2526x	0.0015780898282515977	2.97	229.1221	{2526}	{nan}	0.0	non anotated	not interesting
9090	4853x	8.504792580644208e-05	2.98	291.195	{4853}	{nan}	0.0	non anotated	not interesting
8209	3749x	0.0014738043390155806	2.98	268.1294	{3749}	{nan}	0.0	non anotated	not interesting
7319	2566x	0.0014405352541155476	2.98	230.139	{2566}	{nan}	0.0	non anotated	not interesting
8155	3679x	0.0009027246303195005	2.98	266.1098	{3679}	{nan}	0.0	non anotated	not interesting
7735	3096x	0.00034227028583403546	2.98	248.118	{3096}	{nan}	0.0	non anotated	not interesting
422	701.0	0.003785024200959068	2.98	255.2077	{3328}	{'[2M+H]+'}	127.1018	non anotated	not interesting
7945	3371x	0.001885730788594406	2.98	256.6214	{3371}	{nan}	0.0	non anotated	not interesting
428	714.0	0.00018868774402386738	2.98	233.1529	{2636, 2638, 783, 2639, 1267, 1268}	{'[M-H2O+H]+', '[M-2H2O+H]+', '[M+Na]+'}	210.1625	annotated	not interesting
429	715.0	0.006102344585740566	2.98	238.1277	{2800, 2749}	{'[M+Na]+', '[2M+HFA+2H]2+'}	214.1186	non anotated	not interesting
434	721.0	0.00041136336079918674	2.98	221.1335	{2266}	{'[M+Na]+'}	198.1449	non anotated	not interesting
12864	9594x	0.000956210073661916	2.99	407.1127	{9594}	{nan}	0.0	non anotated	not interesting
7732	3093x	0.0013972898369285659	2.99	247.616	{3093}	{nan}	0.0	non anotated	not interesting
438	727.0	0.0019868388164428646	3.0	615.4141	{5768, 6059, 3885, 15091, 3284, 4757}	{'[M-H2O+H]+', '[M-2H2O+H]+', '[M+NH4]+', '[M+Na]+', '[2M+K]+', '[M+H]+'}	288.2291	non anotated	not interesting
7438	2720x	0.0003021463263817012	3.0	235.2053	{2720}	{nan}	0.0	non anotated	not interesting
11695	8096x	0.002631450464037723	3.01	353.1022	{8096}	{nan}	0.0	non anotated	not interesting
445	744.0	0.0002670315558770269	3.01	231.1378	{2589}	{'[M-H2O+K]+'}	210.1831	annotated	not interesting
3698	11917x	0.0004864122339144826	3.02	465.118	{11917}	{nan}	0.0	non anotated	not interesting
7379	2635x	0.0002558973403497731	3.03	233.1516	{2635}	{nan}	0.0	non anotated	not interesting
11110	7339x	0.0002817495079138321	3.03	333.2048	{7339}	{nan}	0.0	annotated	not interesting
5330	14342x	0.00028179553173637156	3.04	553.1128	{14342}	{nan}	0.0	non anotated	not interesting
8507	4117x	0.0003481936409617342	3.04	277.0602	{4117}	{nan}	0.0	non anotated	not interesting
459	773.0	0.0002530369529199553	3.05	409.2203	{9704, 1450}	{'[M+NH4]+', '[2M+HFA+H]+'}	181.1013	non anotated	not interesting
5351	14369x	0.0011263983501643262	3.05	555.1284	{14369}	{nan}	0.0	non anotated	not interesting
5566	14672x	0.00016495412640249246	3.05	577.1102	{14672}	{nan}	0.0	non anotated	not interesting
460	774.0	0.00013378559345552483	3.06	235.169	{2701}	{'[M+NH4]+'}	217.1339	annotated	not interesting
12354	8956x	0.0015168589733972069	3.08	383.1125	{8956}	{nan}	0.0	non anotated	not interesting
469	792.0	0.0006609326484669564	3.09	351.2147	{7874, 4958, 8042}	{'[M-2H2O+H]+', '[M+Na]+', '[M+NH4]+'}	328.2251	annotated	not interesting
12779	947x	0.0004539675653110417	3.09	181.1221	{947}	{nan}	0.0	non anotated	not interesting
8311	3869x	0.00015122360827633208	3.1	271.1442	{3869}	{nan}	0.0	non anotated	not interesting
12511	9151x	0.0005846341016784	3.12	391.0815	{9151}	{nan}	0.0	non anotated	not interesting
475	799.0	0.000203966428777265	3.12	227.1641	{2474, 2291}	{'[M+NH4]+', '[2M+HFA+2H]2+'}	203.1551	annotated	not interesting
477	802.0	0.011359891729213452	3.12	379.0791	{8233, 1970, 8862}	{'[2M-2H2O+Na]+', '[M+NH4]+', '[2M-2H2O+H]+'}	196.0556	non anotated	not interesting
478	804.0	0.00043748740157724105	3.13	735.1694	{15643}	{'[2M+Na]+'}	356.09	non anotated	not interesting
9093	4856x	0.0001723021691909207	3.13	291.1953	{4856}	{nan}	0.0	non anotated	not interesting
6196	1566x	0.00021002480998104595	3.15	203.1795	{1566}	{nan}	0.0	annotated	not interesting
12816	9526x	0.001211215865350998	3.16	405.097	{9526}	{nan}	0.0	non anotated	not interesting
12405	9022x	0.00014249803338305488	3.16	385.1285	{9022}	{nan}	0.0	non anotated	not interesting
11696	8097x	0.0003325896788986196	3.16	353.1022	{8097}	{nan}	0.0	non anotated	not interesting
5353	14370x	0.0014023027983206962	3.19	555.1287	{14370}	{nan}	0.0	non anotated	not interesting
12846	956x	0.00027831404561944425	3.19	181.1223	{956}	{nan}	0.0	non anotated	not interesting
8554	4187x	0.001470935086341257	3.19	278.0681	{4187}	{nan}	0.0	non anotated	not interesting
