	annotation network number	LQ-01-61-06_pos.mzXML	retention time (min)	row m/z	row ID	adduct (ion identity)	neutral mass (ion identity)	annotation	status
18	23.0	0.00040620959874942026	0.38	158.017	{499, 343}	{'[M+ACN+K]+', '[2M+Na]+'}	67.5153	non anotated	not interesting
16	21.0	0.00031250878475370253	0.38	147.984	{347, 220}	{'[2M+H]+', '[M+ACN+Na]+'}	73.4878	non anotated	not interesting
15	19.0	0.0001360148216697645	0.38	189.0345	{150, 1111}	{'[2M-CO2+NH4]+', '[M+Na]+'}	107.4968	non anotated	not interesting
14	18.0	0.00023955595232457808	0.38	260.9557	{3496, 2977}	{'[M+K]+', '[M+Na]+'}	221.9921	non anotated	not interesting
13	16.0	0.000776089861161982	0.38	136.5	{202}	{'[M+NH4]+'}	118.4668	non anotated	not interesting
2639	1049x	0.0001957689002499659	0.39	185.9724	{1049}	{nan}	0.0	non anotated	not interesting
10670	677x	9.568033959939095e-05	0.39	168.4969	{677}	{nan}	0.0	non anotated	not interesting
7198	241x	0.001833845291085615	0.39	140.0102	{241}	{nan}	0.0	non anotated	not interesting
10402	645x	0.00033540973248791543	0.4	166.4892	{645}	{nan}	0.0	non anotated	not interesting
6996	2160x	0.001703550038689016	0.4	219.0101	{2160}	{nan}	0.0	non anotated	not interesting
7175	238x	0.0003702533575276728	0.42	139.5145	{238}	{nan}	0.0	non anotated	not interesting
3435	1153x	0.00019549161370350729	0.43	190.4984	{1153}	{nan}	0.0	non anotated	not interesting
10660	676x	9.217626413188895e-05	0.49	168.4967	{676}	{nan}	0.0	non anotated	not interesting
8283	383x	0.00015627461709428212	0.51	149.5259	{383}	{nan}	0.0	non anotated	not interesting
7074	226x	0.00026896968506292575	0.53	138.0587	{226}	{nan}	0.0	non anotated	not interesting
7651	2978x	0.00014923643799742372	0.6	244.9811	{2978}	{nan}	0.0	non anotated	not interesting
7051	223x	0.0006033901555004823	0.61	138.0585	{223}	{nan}	0.0	non anotated	not interesting
9764	5665x	0.0004418724983449352	0.62	305.0205	{5665}	{nan}	0.0	non anotated	not interesting
6920	2069x	0.00044249204782115107	0.63	217.1049	{2069}	{nan}	0.0	non anotated	not interesting
27	37.0	0.00027442032963402737	0.83	225.0526	{1602, 690, 2387, 1078, 1784}	{'[M+NH4]+', '[M+Na]+', '[M+H]+', '[M+K]+', '[M-H2O+H]+'}	186.0893	non anotated	not interesting
8031	3509x	0.0001931671253437997	0.93	261.1309	{3509}	{nan}	0.0	non anotated	not interesting
12122	8664x	0.0005690958167464911	1.06	370.9449	{8664}	{nan}	0.0	non anotated	not interesting
7174	2389x	0.0020382716794026686	1.06	225.1099	{2389}	{nan}	0.0	non anotated	not interesting
10562	664x	0.00026716555506981344	1.06	167.1068	{664}	{nan}	0.0	non anotated	not interesting
10329	6365x	0.0003056967309185198	1.07	316.2121	{6365}	{nan}	0.0	non anotated	not interesting
5245	1421x	0.00016330472210252466	1.14	198.047	{1421}	{nan}	0.0	non anotated	not interesting
48	73.0	0.0017656329529980926	1.14	423.199	{1509, 618, 10190, 2807, 2329, 986, 2140}	{'[M+NH4]+', '[2M+Na]+', '[M+Na]+', '[2M+2H]2+', '[M+K]+', '[2M-2H2O+2H]2+', '[M-2H2O+H]+'}	200.1049	non anotated	not interesting
7696	3035x	0.0003066260974498698	1.14	246.17	{3035}	{nan}	0.0	non anotated	not interesting
10328	6364x	0.0005024271473552747	1.24	316.212	{6364}	{nan}	0.0	non anotated	not interesting
70	108.0	0.0018732768604083393	1.28	251.1254	{3036, 2540, 1261, 1263, 2543, 3188, 3189, 1884, 1885}	{'[M+NH4]+', '[M+Na]+', '[M+H]+', '[2M-2H2O+2H]2+', '[M-2H2O+H]+'}	228.1361	non anotated	not interesting
79	127.0	0.00024550187537136135	1.33	272.1856	{3934, 3238}	{'[M+ACN+NH4]+', '[M+K]+'}	213.1234	non anotated	not interesting
6888	2033x	0.0003738687549856647	1.33	215.1255	{2033}	{nan}	0.0	non anotated	not interesting
82	132.0	0.000270185128797662	1.34	221.0784	{1441, 2058, 939, 2247}	{'[2M-2H2O+2H]2+', '[M+Na]+', '[M+NH4]+', '[M+H]+'}	198.0891	non anotated	not interesting
8178	3709x	0.0001378624958829277	1.35	267.1588	{3709}	{nan}	0.0	non anotated	not interesting
8523	413x	0.0004005700932899927	1.44	153.0547	{413}	{nan}	0.0	annotated	not interesting
105	171.0	0.00041105726801293584	1.54	251.1255	{1888, 1260, 3190}	{'[2M-2H2O+2H]2+', '[M+Na]+', '[M-2H2O+H]+'}	228.1362	non anotated	not interesting
9867	5796x	9.860598927682441e-05	1.55	307.1515	{5796}	{nan}	0.0	non anotated	not interesting
115	184.0	0.00038364091302108504	1.57	194.1152	{1293, 727}	{'[M+Na]+', '[M+H]+'}	171.1259	non anotated	not interesting
10586	6677x	0.00017634283487738607	1.59	321.131	{6677}	{nan}	0.0	non anotated	not interesting
7514	2812x	0.00029626262950044357	1.6	239.1266	{2812}	{nan}	0.0	non anotated	not interesting
9868	5799x	0.0002207095286512888	1.62	307.1518	{5799}	{nan}	0.0	non anotated	not interesting
136	218.0	0.00026393673775264325	1.65	207.0997	{1706, 1043, 661, 1543}	{'[M+Na]+', '[M+NH4]+', '[M-H2O+H]+', '[M+H]+'}	184.1101	non anotated	not interesting
139	224.0	0.00014952532787249065	1.67	321.1312	{6680, 6354}	{'[M+NH4]+', '[M+Na]+'}	298.1418	non anotated	not interesting
6922	2070x	4.8118117902331726e-05	1.67	217.1069	{2070}	{nan}	0.0	non anotated	not interesting
150	242.0	0.00022258939201578217	1.68	307.1519	{5800, 3702, 3127}	{'[M+Na]+', '[M-H2O+H]+', '[M-2H2O+H]+'}	284.1616	non anotated	not interesting
153	246.0	0.0006812179939921047	1.72	302.1963	{3706, 5491}	{'[M+NH4]+', '[M-H2O+H]+'}	284.1621	annotated	not interesting
11643	8018x	0.00019666410283542557	1.73	351.1783	{8018}	{nan}	0.0	non anotated	not interesting
169	276.0	0.0003107024965922495	1.78	273.1672	{2912, 3988, 3215}	{'[M+Na]+', '[2M-H2O+2H]2+', '[M+H]+'}	250.1763	non anotated	not interesting
9243	5035x	0.00011837631494280229	1.78	295.1525	{5035}	{nan}	0.0	non anotated	not interesting
173	287.0	0.00041152574570530137	1.81	225.1113	{2396, 1037, 1039}	{'[M-H2O+H]+', '[M+Na]+'}	202.1203	non anotated	not interesting
175	291.0	0.0001276622023868703	1.82	321.1311	{6355, 4308, 6679}	{'[M+NH4]+', '[M-H2O+H]+', '[M+Na]+'}	298.1415	non anotated	not interesting
177	293.0	0.00036718511921959244	1.82	267.1573	{3703, 2935}	{'[M+ACN+H]+', '[M+NH4]+'}	225.1241	non anotated	not interesting
180	298.0	0.0005766677433170625	1.84	309.1678	{5914, 3204}	{'[M+Na]+', '[M-2H2O+H]+'}	286.1782	non anotated	not interesting
12251	881x	0.00022289373606884972	1.84	179.0702	{881}	{nan}	0.0	annotated	not interesting
13118	989x	0.00023149866356815194	1.87	183.1016	{989}	{nan}	0.0	non anotated	not interesting
187	309.0	0.0002344641843477545	1.89	351.1784	{8019, 6055}	{'[M-H2O+H]+', '[M+Na]+'}	328.1891	non anotated	not interesting
188	310.0	0.00010329836351726613	1.89	321.131	{6356, 6676}	{'[M+NH4]+', '[M+Na]+'}	298.1418	non anotated	not interesting
189	312.0	0.0005062067630866172	1.9	307.1517	{3704, 5492, 5797}	{'[M+NH4]+', '[M-H2O+H]+', '[M+Na]+'}	284.1618	non anotated	not interesting
198	329.0	0.0004627852624118963	1.93	305.1361	{5681, 5349}	{'[M+NH4]+', '[M+Na]+'}	282.1468	non anotated	not interesting
201	336.0	0.0003409416229283561	1.95	415.1637	{711, 431, 9937, 1874, 1687, 1115}	{'[M+NH4]+', '[2M+K]+', '[M+Na]+', '[M+H]+', '[M-H2O+H]+', '[M-2H2O+H]+'}	188.1041	annotated	not interesting
203	340.0	0.000798291912174553	1.97	309.1679	{3210, 5915}	{'[M+Na]+', '[M-2H2O+H]+'}	286.1783	non anotated	not interesting
206	345.0	0.0011643603132817403	1.98	323.1257	{5798, 5493, 3710, 6783}	{'[M+K]+', '[M+NH4]+', '[M-H2O+H]+', '[M+Na]+'}	284.1625	non anotated	not interesting
10978	7160x	0.00031999082996043705	1.98	330.2276	{7160}	{nan}	0.0	non anotated	not interesting
7123	232x	7.732246881573851e-05	2.01	139.1117	{232}	{nan}	0.0	non anotated	not interesting
209	349.0	0.00040753302142956956	2.01	179.1065	{890}	{'[M-H2O+NH4]+'}	179.0822	non anotated	not interesting
9693	558x	0.0005634990796949659	2.04	163.0753	{558}	{nan}	0.0	annotated	not interesting
10522	659x	0.00023231458943656256	2.05	167.1067	{659}	{nan}	0.0	non anotated	not interesting
9492	535x	0.0002652327954224593	2.05	161.096	{535}	{nan}	0.0	non anotated	not interesting
225	373.0	7.109173243408741e-05	2.09	265.1048	{2930, 3644, 3484, 1710}	{'[M+Na]+', '[M+NH4]+', '[M+H]+', '[M-2H2O+H]+'}	242.1153	non anotated	not interesting
231	386.0	0.00015576184475993277	2.14	281.1732	{4318}	{'[M+Na]+'}	258.1836	non anotated	not interesting
239	405.0	0.000201437452116238	2.16	297.1319	{3192, 2537, 1891, 5151}	{'[2M-2H2O+2H]2+', '[M+Na]+', '[M+HFA+Na]+', '[M+H]+'}	228.1365	non anotated	not interesting
241	408.0	0.00020870551422670657	2.16	335.1835	{1041, 658, 7402}	{'[2M+H]+', '[M-H2O+NH4]+', '[M+NH4]+'}	167.085	non anotated	not interesting
9977	5926x	0.0001951062212605568	2.16	309.2058	{5926}	{nan}	0.0	non anotated	not interesting
3494	1161x	0.0005256638214492507	2.18	191.1056	{1161}	{nan}	0.0	non anotated	not interesting
247	420.0	0.00041561438857395396	2.18	305.1362	{5683, 5350, 4399}	{'[M+Na]+', '[M+NH4]+', '[M+H]+'}	282.1467	annotated	not interesting
7811	3199x	0.00024409845940585122	2.19	251.1625	{3199}	{nan}	0.0	non anotated	not interesting
248	422.0	8.850081317132339e-05	2.19	223.0942	{2331, 2141, 1511}	{'[2M+2H]2+', '[M+NH4]+', '[M+Na]+'}	200.105	non anotated	not interesting
9170	4941x	0.0005022810971918774	2.21	293.1731	{4941}	{nan}	0.0	non anotated	not interesting
8400	3985x	0.00022021148546322295	2.25	273.1486	{3985}	{nan}	0.0	non anotated	not interesting
260	440.0	0.00020527633989573537	2.26	281.1729	{4317, 2361, 2885}	{'[M+Na]+', '[M-H2O+H]+', '[M-2H2O+H]+'}	258.1834	non anotated	not interesting
262	444.0	0.0005177035374227535	2.27	191.1043	{1160, 401, 695}	{'[2M-2H2O+2H]2+', '[2M+2H]2+', '[M+Na]+'}	168.115	non anotated	not interesting
6757	1890x	9.264435532874771e-05	2.29	211.1327	{1890}	{nan}	0.0	non anotated	not interesting
271	456.0	0.00010602246566189229	2.3	305.1363	{3656, 5684, 5351}	{'[M+NH4]+', '[M-H2O+H]+', '[M+Na]+'}	282.1463	non anotated	not interesting
8654	4319x	0.00013832342703893846	2.33	281.1733	{4319}	{nan}	0.0	non anotated	not interesting
281	468.0	0.00048481827101011976	2.34	227.1274	{697, 2457, 1086}	{'[2M-2H2O+2H]2+', '[M+Na]+', '[M-2H2O+H]+'}	204.1368	non anotated	not interesting
10681	6796x	0.0005054394143432507	2.39	323.1846	{6796}	{nan}	0.0	non anotated	not interesting
301	503.0	0.0011710201668790384	2.45	407.2046	{9610, 8564}	{'[M-H2O+H]+', '[M+Na]+'}	384.215	non anotated	not interesting
305	509.0	0.00045283604993848447	2.46	391.21	{9164, 9166, 8048, 8050, 9075}	{'[2M-2H2O+2H]2+', '[M+NH4]+', '[M+Na]+'}	368.2201	non anotated	not interesting
307	511.0	0.0006294400372907729	2.48	291.158	{4563, 4844}	{'[M+NH4]+', '[M+Na]+'}	268.1685	annotated	not interesting
316	525.0	0.0004044252308075848	2.53	289.1419	{3714, 4714, 4462}	{'[M+Na]+', '[M+NH4]+', '[M+H]+'}	266.1521	annotated	not interesting
8000	3461x	0.00020981362787709953	2.56	259.1696	{3461}	{nan}	0.0	annotated	not interesting
9334	5155x	0.00010211325544810859	2.56	297.1466	{5155}	{nan}	0.0	non anotated	not interesting
4170	12610x	0.0009366453419851299	2.57	483.2378	{12610}	{nan}	0.0	non anotated	not interesting
347	578.0	0.00023048041717592047	2.66	391.2099	{9165, 8049, 9077}	{'[2M-2H2O+2H]2+', '[M+NH4]+', '[M+Na]+'}	368.2204	non anotated	not interesting
7814	3200x	0.00024419694523170017	2.7	251.1626	{3200}	{nan}	0.0	non anotated	not interesting
6759	1894x	0.0002299707114154095	2.7	211.133	{1894}	{nan}	0.0	non anotated	not interesting
8397	3981x	0.0003463530114047374	2.73	273.1472	{3981}	{nan}	0.0	non anotated	not interesting
8885	4599x	0.00041077684718539677	2.81	287.128	{4599}	{nan}	0.0	non anotated	not interesting
2903	10833x	0.00031631999719800713	2.82	439.2481	{10833}	{nan}	0.0	non anotated	not interesting
6756	1887x	0.00010071189891121112	2.83	211.1327	{1887}	{nan}	0.0	non anotated	not interesting
389	644.0	0.0004186976353206914	2.83	391.2095	{8045, 9163, 9076, 8037}	{'[2M-2H2O+2H]2+', '[M+NH4]+', '[M+Na]+'}	368.2192	non anotated	not interesting
390	645.0	0.00019556114057769946	2.84	355.245	{6308, 5190, 8184, 7993, 7354}	{'[M+NH4]+', '[M+Na]+', '[M+H]+', '[M-H2O+H]+', '[M-2H2O+H]+'}	332.2556	non anotated	not interesting
8177	3708x	0.0003555270605905948	2.84	267.1584	{3708}	{nan}	0.0	annotated	not interesting
6823	1969x	0.00010407226575743708	2.85	214.0807	{1969}	{nan}	0.0	non anotated	not interesting
8973	4717x	0.0009220514973403353	2.88	289.1432	{4717}	{nan}	0.0	non anotated	not interesting
9974	5918x	0.00041133356998324946	2.89	309.169	{5918}	{nan}	0.0	non anotated	not interesting
402	666.0	0.0004496822748145995	2.89	331.1882	{5923, 7205}	{'[2M+2H]2+', '[M+Na]+'}	308.1986	non anotated	not interesting
405	671.0	0.0015345804096267503	2.9	203.1039	{946, 1549, 566, 1426}	{'[M+Na]+', '[M+NH4]+', '[M-H2O+H]+', '[M+H]+'}	180.1147	non anotated	not interesting
404	668.0	0.00018428248230072992	2.9	353.2301	{6184, 7240, 5066, 8119, 7928, 8122, 7165}	{'[M+NH4]+', '[M+H]+', '[M+Na]+', '[M-H2O+H]+', '[M-H2O+NH4]+', '[M-2H2O+H]+'}	330.2404	annotated	not interesting
408	675.0	0.000811439473706207	2.91	295.1305	{4786, 5028}	{'[M+NH4]+', '[M+Na]+'}	272.1412	non anotated	not interesting
416	690.0	0.0005748716958759714	2.93	483.2373	{12608, 11819}	{'[M+Na]+', '[M+H]+'}	460.2474	non anotated	not interesting
9657	5547x	0.00012712446582814575	2.95	303.1589	{5547}	{nan}	0.0	non anotated	not interesting
8401	3986x	0.0015249634422324057	2.95	273.1487	{3986}	{nan}	0.0	non anotated	not interesting
9090	4853x	0.0002810770517713801	2.98	291.195	{4853}	{nan}	0.0	non anotated	not interesting
8406	3992x	0.0001243747985573711	2.98	273.1845	{3992}	{nan}	0.0	non anotated	not interesting
431	718.0	0.0083510591951917	2.98	275.1622	{4057, 3203}	{'[M+ACN+H]+', '[M+NH4]+'}	233.1292	annotated	specific annotated
6608	1703x	0.00042174841080259	2.99	207.0913	{1703}	{nan}	0.0	non anotated	not interesting
9646	5537x	0.0009668128679127563	2.99	303.1231	{5537}	{nan}	0.0	non anotated	not interesting
6989	2154x	0.0008148447530230008	2.99	218.5993	{2154}	{nan}	0.0	non anotated	not interesting
432	719.0	0.00023438134171595686	2.99	210.6105	{1865}	{'[M+H]+'}	209.6011	non anotated	not interesting
8495	4102x	0.0014895897936172487	2.99	276.1679	{4102}	{nan}	0.0	non anotated	not interesting
7960	3389x	0.0012003886627162835	2.99	257.1539	{3389}	{nan}	0.0	non anotated	not interesting
7205	2426x	0.0003060163937351038	2.99	225.585	{2426}	{nan}	0.0	non anotated	not interesting
9238	5029x	0.0006030711415449681	3.0	295.1309	{5029}	{nan}	0.0	non anotated	not interesting
9082	4838x	0.00014566179465688286	3.05	291.1573	{4838}	{nan}	0.0	non anotated	not interesting
4168	12607x	0.00012524206344207504	3.06	483.2373	{12607}	{nan}	0.0	non anotated	not interesting
3439	11545x	0.00020371664715214142	3.11	455.2425	{11545}	{nan}	0.0	non anotated	not interesting
9093	4856x	0.00027771888541052115	3.13	291.1953	{4856}	{nan}	0.0	non anotated	not interesting
3368	11440x	0.0003353687244683067	3.16	453.2634	{11440}	{nan}	0.0	non anotated	not interesting
492	822.0	5.145293090694956e-05	3.18	299.2007	{5299, 3878}	{'[M-CO2+K]+', '[M+Na]+'}	276.2132	annotated	not interesting
489	819.0	0.0002413629739811534	3.18	375.2142	{6449, 8787, 7427}	{'[M+Na]+', '[M-H2O+H]+', '[M-2H2O+H]+'}	352.2246	non anotated	not interesting
9811	5729x	5.709636056528169e-05	3.21	305.2476	{5729}	{nan}	0.0	annotated	not interesting
9184	4965x	0.00030242948974147963	3.21	293.2112	{4965}	{nan}	0.0	annotated	not interesting
7432	2713x	0.00016477619795198233	3.22	235.1692	{2713}	{nan}	0.0	annotated	not interesting
8911	4631x	0.00010150956357221067	3.22	287.237	{4631}	{nan}	0.0	annotated	not interesting
510	852.0	0.00015739750220798493	3.23	249.147	{2473, 3121, 2963, 3123, 1176}	{'[M+Na]+', '[M+NH4]+', '[M+H]+', '[M-2H2O+H]+'}	226.1571	annotated	not interesting
9157	4928x	0.0010157000357029114	3.24	293.1385	{4928}	{nan}	0.0	non anotated	not interesting
522	870.0	0.00017017893682819021	3.25	275.2007	{3218, 4068}	{'[M+ACN+H]+', '[M+NH4]+'}	233.1667	annotated	not interesting
11232	7506x	0.00017817837820967988	3.26	337.2355	{7506}	{nan}	0.0	non anotated	not interesting
523	872.0	0.00046322772923876977	3.26	319.2272	{3849, 5194, 6620, 4246}	{'[M+Na]+', '[M+H]+', '[M-H2O+H]+', '[M-CO2+NH4]+'}	296.236	annotated	not interesting
521	869.0	0.00010565142433312378	3.26	317.2112	{6455}	{'[2M+HFA+K]+'}	116.1219	non anotated	not interesting
529	883.0	0.00036350748752160544	3.27	309.2061	{5931}	{'[2M+H]+'}	154.1006	annotated	not interesting
2904	10834x	0.00022971783615084924	3.27	439.2482	{10834}	{nan}	0.0	non anotated	not interesting
532	887.0	0.0001908194895707122	3.27	307.1904	{4592, 5806}	{'[M+ACN+NH4]+', '[M+K]+'}	248.1291	annotated	not interesting
535	894.0	0.00018647271284169927	3.29	273.1472	{3209, 3980, 2637}	{'[M+Na]+', '[M-H2O+H]+', '[M+H]+'}	250.157	annotated	not interesting
546	912.0	0.0006321474242100151	3.32	337.2353	{7504, 5193, 4244, 6239}	{'[M-H2O+NH4]+', '[M+Na]+', '[M-H2O+H]+', '[M-2H2O+H]+'}	314.2458	annotated	not interesting
9650	5540x	0.0003192009403477342	3.32	303.1307	{5540}	{nan}	0.0	non anotated	not interesting
5936	15252x	0.0004328871266736232	3.32	637.3219	{15252}	{nan}	0.0	non anotated	not interesting
10233	6248x	0.0003785436579365193	3.32	314.6386	{6248}	{nan}	0.0	non anotated	not interesting
8181	3715x	0.00012100452106358835	3.32	267.1591	{3715}	{nan}	0.0	non anotated	not interesting
553	923.0	0.0006293146660475552	3.33	291.1954	{4858}	{'[2M-2H2O+2H]2+'}	308.1989	non anotated	not interesting
9209	4996x	0.00023145819438534463	3.33	294.1249	{4996}	{nan}	0.0	non anotated	not interesting
552	921.0	0.004226220881273442	3.33	467.2428	{12003}	{'[M+H]+'}	466.2357	non anotated	not interesting
3441	11547x	0.00035649155025376433	3.33	455.2431	{11547}	{nan}	0.0	non anotated	not interesting
564	948.0	0.0004264757868660426	3.36	659.4272	{7463, 7660, 5425, 15377, 6612, 8951}	{'[M+NH4]+', '[2M+Na]+', '[M+Na]+', '[M+H]+', '[M-H2O+H]+', '[M+ACN+Na]+'}	318.2194	annotated	not interesting
4998	13849x	0.0013680796687235643	3.39	525.248	{13849}	{nan}	0.0	non anotated	not interesting
600	1009.0	0.00023086914137940745	3.39	299.1829	{5288}	{'[2M-CO2+Na]+'}	160.0902	non anotated	not interesting
9615	5507x	0.00027377388063476747	3.39	302.6141	{5507}	{nan}	0.0	non anotated	not interesting
581	974.0	0.0003964787985543593	3.4	349.1988	{7009, 5925, 4861, 7217, 7954, 7797, 7957, 7802, 7803, 7005, 4863}	{'[M+NH4]+', '[M+H]+', '[M+Na]+', '[M-H2O+H]+', '[M-H2O+Na]+', '[M-2H2O+H]+'}	326.2096	non anotated	not interesting
593	995.0	0.0010553183641683222	3.43	335.2201	{6456, 6188, 7421, 7167}	{'[2M+2H]2+', '[M+NH4]+', '[M-H2O+Na]+', '[M+Na]+'}	312.231	non anotated	not interesting
9262	5067x	0.00032011756945417134	3.43	295.2268	{5067}	{nan}	0.0	annotated	not interesting
3764	12004x	0.001495309645003923	3.43	467.243	{12004}	{nan}	0.0	non anotated	not interesting
9210	4997x	0.00019359074698829934	3.44	294.125	{4997}	{nan}	0.0	non anotated	not interesting
10213	6223x	0.0008503170849434627	3.44	314.1751	{6223}	{nan}	0.0	non anotated	not interesting
10255	6274x	0.00015110394479024084	3.44	315.1787	{6274}	{nan}	0.0	non anotated	not interesting
7821	3211x	0.00011406278811191181	3.45	251.1641	{3211}	{nan}	0.0	annotated	not interesting
6863	2009x	0.00019087513363914664	3.45	215.0886	{2009}	{nan}	0.0	non anotated	not interesting
8462	4059x	0.001030272270452948	3.47	275.1625	{4059}	{nan}	0.0	non anotated	not interesting
606	1017.0	8.425045437614144e-05	3.47	359.2196	{8336, 5422}	{'[M+Na]+', '[M-2H2O+H]+'}	336.2303	annotated	not interesting
609	1020.0	0.00032047431609145955	3.47	583.3668	{14751, 5937, 7279}	{'[M-H2O+NH4]+', '[2M-2H2O+H]+', '[M+Na]+'}	309.1867	non anotated	not interesting
613	1028.0	0.0018397431560962098	3.48	329.1729	{4730, 6851, 7077, 5815}	{'[M+Na]+', '[M+NH4]+', '[M-H2O+H]+', '[M+H]+'}	306.1834	non anotated	not interesting
3366	11439x	0.0007686288334116375	3.48	453.2633	{11439}	{nan}	0.0	non anotated	not interesting
3901	12196x	0.0003457665369162688	3.49	471.2741	{12196}	{nan}	0.0	non anotated	not interesting
10683	6799x	0.0001569415080383745	3.51	323.1854	{6799}	{nan}	0.0	non anotated	not interesting
7431	2711x	0.0001683578659188871	3.51	235.1692	{2711}	{nan}	0.0	annotated	not interesting
7876	3280x	0.00021256434743126127	3.52	253.1799	{3280}	{nan}	0.0	annotated	not interesting
634	1067.0	0.0003572683497996685	3.55	351.2145	{7873, 8034, 4966, 7336, 8041, 6062, 7102}	{'[M+NH4]+', '[M+H]+', '[M+Na]+', '[M-H2O+H]+', '[M-H2O+Na]+', '[M-2H2O+H]+'}	328.225	annotated	not interesting
3440	11546x	0.00014760774875303376	3.55	455.2428	{11546}	{nan}	0.0	non anotated	not interesting
3768	12010x	5.150492724771789e-05	3.55	467.279	{12010}	{nan}	0.0	non anotated	not interesting
644	1084.0	0.00012314702082003926	3.57	335.2199	{7416, 4153, 7161, 6185}	{'[M+Na]+', '[M+NH4]+', '[M+H]+', '[M-2H2O+H]+'}	312.2295	non anotated	not interesting
3371	11444x	0.0004607966725011921	3.57	453.2636	{11444}	{nan}	0.0	non anotated	not interesting
646	1087.0	0.00019199935597088015	3.58	347.1824	{5811, 7893, 6902}	{'[M+Na]+', '[M-H2O+H]+', '[M+H]+'}	324.1934	annotated	not interesting
659	1104.0	0.002941258312580013	3.59	310.2716	{6000, 4692}	{'[M+Na]+', '[M+H]+'}	287.2824	non anotated	not interesting
7644	2970x	0.0015939991568061007	3.62	244.2635	{2970}	{nan}	0.0	non anotated	not interesting
9787	5697x	0.0003367695195993221	3.63	305.1749	{5697}	{nan}	0.0	non anotated	not interesting
11705	8107x	0.0007576752404249415	3.64	353.1787	{8107}	{nan}	0.0	non anotated	not interesting
683	1138.0	0.00022823703644993265	3.65	333.2039	{4963, 7331, 6063}	{'[M+Na]+', '[M-H2O+H]+', '[M+H]+'}	310.2145	annotated	not interesting
8398	3982x	0.0003400438248986174	3.65	273.1473	{3982}	{nan}	0.0	non anotated	not interesting
7985	3428x	0.0019532659140665725	3.66	258.1575	{3428}	{nan}	0.0	non anotated	specific non annotated
10564	6651x	0.0004948119163611346	3.66	320.2224	{6651}	{nan}	0.0	non anotated	not interesting
6988	2153x	0.0005098328808579354	3.66	218.5992	{2153}	{nan}	0.0	non anotated	not interesting
693	1156.0	0.011231393543967278	3.66	571.3037	{5154, 2822, 6150, 4056, 14617, 3386, 4892}	{'[M+NH4]+', '[2M+Na]+', '[M+Na]+', '[M+H]+', '[M-H2O+H]+', '[M+K]+', '[M-2H2O+H]+'}	274.1567	non anotated	specific non annotated
2397	10198x	0.0026172344443234664	3.66	423.2536	{10198}	{nan}	0.0	non anotated	specific non annotated
6609	1704x	0.0005038356272582641	3.66	207.0913	{1704}	{nan}	0.0	non anotated	not interesting
3770	12012x	0.0002978798451884391	3.67	467.2792	{12012}	{nan}	0.0	non anotated	not interesting
703	1174.0	0.00013286386768096532	3.68	335.2196	{5297, 6187, 7414}	{'[M-2H2O+Na]+', '[M+Na]+', '[M+H]+'}	312.231	annotated	not interesting
706	1181.0	0.020501180205872997	3.68	259.1674	{3456, 2770, 2194}	{'[M+Na]+', '[M-H2O+H]+', '[M+H]+'}	236.1778	annotated	not interesting
