rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	1	2	2	0.7167016242757865	-1.4977184793793907	0.9999999999999999	76.02211418738646	C9H8O4	[M + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	181.05000906692482	351.3030257821083	878_Celastraceae_pos_sirius_red_881
12	1	2	2	N/A	-100.14788891776101	0.9999999999999999	76.02211418738646	C9H10O5	[M - H2O + H]+	PAFLSMZLRSPALU	InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)	a-Hydroxyhydrocaffeic acid	C1=CC(=C(C=C1CC(C(=O)O)O)O)O	0.429084063	179536;439435;11600642;21677748;25202033;25203144	HMDB:(3503);SuperNatural:(SN00001768 SN00307533 SN00362387 SN00001767);ZINC bio:(ZINC00895534 ZINC00895535);MeSH:(439435 11600642);Plantcyc:(CPD-6982 CPD-7022);PubMed;COCONUT:(CNP0086056 CNP0265014);KNApSAcK:(31720);Natural Products:(UNPD194978 UNPD143674 UNPD171118);PubChem:(179536 439435 11600642 21677748 25202033 25203144);YMDB Mine;CHEBI:(71492 71572 58279 17807);PubChem class - bio and metabolites;KEGG:(C22038 C01207);PubChem class - safety and toxic;Biocyc:(3-34-DIHYDROXYPHENYLLACTATE CPD-6982 CPD-7022)	34446944638	181.05000906692482	351.3030257821083	878_Celastraceae_pos_sirius_red_881
13	1	2	2	0.7104877795160185	-1.495101602005906	0.9999999999999999	103.55166426368778	C9H8O4	[M + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	181.0499581817716	314.56749200820923	875_Celastraceae_pos_sirius_red_878
14	1	2	2	N/A	-105.42285354542346	0.9999999999999999	103.55166426368778	C9H10O5	[M - H2O + H]+	PAFLSMZLRSPALU	InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)	a-Hydroxyhydrocaffeic acid	C1=CC(=C(C=C1CC(C(=O)O)O)O)O	0.429084063	179536;439435;11600642;21677748;25202033;25203144	HMDB:(3503);SuperNatural:(SN00001768 SN00307533 SN00362387 SN00001767);ZINC bio:(ZINC00895534 ZINC00895535);MeSH:(439435 11600642);Plantcyc:(CPD-6982 CPD-7022);PubMed;COCONUT:(CNP0086056 CNP0265014);KNApSAcK:(31720);Natural Products:(UNPD194978 UNPD143674 UNPD171118);PubChem:(179536 439435 11600642 21677748 25202033 25203144);YMDB Mine;CHEBI:(71492 71572 58279 17807);PubChem class - bio and metabolites;KEGG:(C22038 C01207);PubChem class - safety and toxic;Biocyc:(3-34-DIHYDROXYPHENYLLACTATE CPD-6982 CPD-7022)	34446944638	181.0499581817716	314.56749200820923	875_Celastraceae_pos_sirius_red_878
15	1	2	2	0.697849962087002	-1.6605294281065373	0.9999999999999999	66.46507912079744	C9H8O4	[M + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	181.04978345095878	386.7630100250244	874_Celastraceae_pos_sirius_red_877
16	1	2	2	N/A	-96.56519540013609	0.9999999999999999	66.46507912079744	C9H10O5	[M - H2O + H]+	PAFLSMZLRSPALU	InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)	a-Hydroxyhydrocaffeic acid	C1=CC(=C(C=C1CC(C(=O)O)O)O)O	0.429084063	179536;439435;11600642;21677748;25202033;25203144	HMDB:(3503);SuperNatural:(SN00001768 SN00307533 SN00362387 SN00001767);ZINC bio:(ZINC00895534 ZINC00895535);MeSH:(439435 11600642);Plantcyc:(CPD-6982 CPD-7022);PubMed;COCONUT:(CNP0086056 CNP0265014);KNApSAcK:(31720);Natural Products:(UNPD194978 UNPD143674 UNPD171118);PubChem:(179536 439435 11600642 21677748 25202033 25203144);YMDB Mine;CHEBI:(71492 71572 58279 17807);PubChem class - bio and metabolites;KEGG:(C22038 C01207);PubChem class - safety and toxic;Biocyc:(3-34-DIHYDROXYPHENYLLACTATE CPD-6982 CPD-7022)	34446944638	181.04978345095878	386.7630100250244	874_Celastraceae_pos_sirius_red_877
17	1	2	2	0.6665490117894329	-2.659295467321215	0.9999999999999999	74.94557563120163	C9H8O4	[M + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	181.04946121886462	277.1459913253784	867_Celastraceae_pos_sirius_red_870
18	1	2	2	N/A	-91.27245812149934	0.9999999999999999	74.94557563120163	C9H10O5	[M - H2O + H]+	PAFLSMZLRSPALU	InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)	a-Hydroxyhydrocaffeic acid	C1=CC(=C(C=C1CC(C(=O)O)O)O)O	0.429084063	179536;439435;11600642;21677748;25202033;25203144	HMDB:(3503);SuperNatural:(SN00001768 SN00307533 SN00362387 SN00001767);ZINC bio:(ZINC00895534 ZINC00895535);MeSH:(439435 11600642);Plantcyc:(CPD-6982 CPD-7022);PubMed;COCONUT:(CNP0086056 CNP0265014);KNApSAcK:(31720);Natural Products:(UNPD194978 UNPD143674 UNPD171118);PubChem:(179536 439435 11600642 21677748 25202033 25203144);YMDB Mine;CHEBI:(71492 71572 58279 17807);PubChem class - bio and metabolites;KEGG:(C22038 C01207);PubChem class - safety and toxic;Biocyc:(3-34-DIHYDROXYPHENYLLACTATE CPD-6982 CPD-7022)	34446944638	181.04946121886462	277.1459913253784	867_Celastraceae_pos_sirius_red_870
19	1	1	1	0.6447201388823184	-12.65252446653609	0.9999999999999999	15.392482114056508	C7H6O	[M + H]+	HUMNYLRZRPPJDN	InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H	Benzadehyde	C1=CC=C(C=C1)C=O	1.576208	240;451255;10877067;10887848;10931392;11007839;12998375;12998376;12998377;12998378;12998379;11159309;10351662;18635297;16213526;22861502;23290585;21345041;53897190;59037040;59963775;100957051;117064281;124004125	HMDB:(6115);PubChem class - food;SuperNatural:(SN00155864);ZINC bio:(ZINC00895145);additional;HSDB:(100-52-7);MeSH:(240);Plantcyc:(BENZALDEHYDE);PubMed;NORMAN:(NS00008510);COCONUT:(CNP0105179);KNApSAcK:(34452);Natural Products:(UNPD45164);PubChem:(240 451255 10877067 10887848 10931392 11007839 12998375 12998376 12998377 12998378 12998379 11159309 10351662 18635297 16213526 22861502 23290585 21345041 53897190 59037040 59963775 100957051 117064281 124004125);CHEBI:(17169);PubChem class - bio and metabolites;KEGG:(C00193 C00261);PubChem class - safety and toxic;YMDB:(1326);Training Set;PubChem class - drug;Biocyc:(BENZALDEHYDE)	255847294	107.04912426904068	102.88699865341187	17_Celastraceae_pos_sirius_red_18
20	1	2	2	0.6392228338181174	-2.0757836952551396	0.9999999999999999	63.51992066510688	C9H8O4	[M + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	181.04994806562723	362.0020008087158	877_Celastraceae_pos_sirius_red_880
21	1	2	2	N/A	-86.50669666698802	0.9999999999999999	63.51992066510688	C9H10O5	[M - H2O + H]+	PAFLSMZLRSPALU	InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)	a-Hydroxyhydrocaffeic acid	C1=CC(=C(C=C1CC(C(=O)O)O)O)O	0.429084063	179536;439435;11600642;21677748;25202033;25203144	HMDB:(3503);SuperNatural:(SN00001768 SN00307533 SN00362387 SN00001767);ZINC bio:(ZINC00895534 ZINC00895535);MeSH:(439435 11600642);Plantcyc:(CPD-6982 CPD-7022);PubMed;COCONUT:(CNP0086056 CNP0265014);KNApSAcK:(31720);Natural Products:(UNPD194978 UNPD143674 UNPD171118);PubChem:(179536 439435 11600642 21677748 25202033 25203144);YMDB Mine;CHEBI:(71492 71572 58279 17807);PubChem class - bio and metabolites;KEGG:(C22038 C01207);PubChem class - safety and toxic;Biocyc:(3-34-DIHYDROXYPHENYLLACTATE CPD-6982 CPD-7022)	34446944638	181.04994806562723	362.0020008087158	877_Celastraceae_pos_sirius_red_880
22	1	1	3	N/A	-212.06078033581954	0.09396984924623117	84.42484861441577	C5H11NO4P	[M + H]+	YZHQWIBBUJMOMJ	InChI=1S/C5H11NO4P/c7-11(8,9)10-5-1-3-6-4-2-5/h5H,1-4H2,(H2,7,8,9)	null	C1C[N]CCC1OP(=O)(O)O	-3.70000005	57447221	PubChem:(57447221)	2	181.04960356815025	397.9775547981262	870_Celastraceae_pos_sirius_red_873
23	1	2	2	0.6294759722773453	-2.222238272352873	0.9999999999999999	93.23370460901921	C9H8O4	[M + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	181.04958212131484	305.679988861084	868_Celastraceae_pos_sirius_red_871
24	1	2	2	N/A	-90.86404066898632	0.9999999999999999	93.23370460901921	C9H10O5	[M - H2O + H]+	PAFLSMZLRSPALU	InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)	a-Hydroxyhydrocaffeic acid	C1=CC(=C(C=C1CC(C(=O)O)O)O)O	0.429084063	179536;439435;11600642;21677748;25202033;25203144	HMDB:(3503);SuperNatural:(SN00001768 SN00307533 SN00362387 SN00001767);ZINC bio:(ZINC00895534 ZINC00895535);MeSH:(439435 11600642);Plantcyc:(CPD-6982 CPD-7022);PubMed;COCONUT:(CNP0086056 CNP0265014);KNApSAcK:(31720);Natural Products:(UNPD194978 UNPD143674 UNPD171118);PubChem:(179536 439435 11600642 21677748 25202033 25203144);YMDB Mine;CHEBI:(71492 71572 58279 17807);PubChem class - bio and metabolites;KEGG:(C22038 C01207);PubChem class - safety and toxic;Biocyc:(3-34-DIHYDROXYPHENYLLACTATE CPD-6982 CPD-7022)	34446944638	181.04958212131484	305.679988861084	868_Celastraceae_pos_sirius_red_871
25	1	3	3	0.6131730324048044	-195.5437541786816	0.9999999999999999	163.42328818049643	C13H18N3	[M + H]+	QBJUYMFTZSGYOE	InChI=1S/C13H18N3/c1-2-3-4-7-10-16-11-13(14-15-16)12-8-5-6-9-12/h5-6,8-9,11H,2-4,7,10H2,1H3	null	CCCCCCN1C=C(N=N1)[C]2[CH][CH][CH][CH]2	3.5999999	44541383	PubChem:(44541383)	2	217.1568814876061	221.12928047776222	1897_Celastraceae_pos_sirius_red_1931
26	1	3	3	N/A	-387.15709414163916	0.9999999999999999	163.42328818049643	C13H22N3O2	[M - H4O2 + H]+	YOZZGHPIEMRXON	InChI=1S/C13H22N3O2/c17-12(6-3-10-2-1-7-14-8-10)15-9-13(18)16-11-4-5-11/h10-11H,1-9H2,(H,15,17)(H,16,18)	null	C1CC(C[N]C1)CCC(=O)NCC(=O)NC2CC2	0.0	43568551	PubChem:(43568551)	2	217.1568814876061	221.12928047776222	1897_Celastraceae_pos_sirius_red_1931
27	1	3	3	N/A	-460.80503599481233	0.9999999999999999	163.42328818049643	C13H20N3O	[M - H2O + H]+	HOBTZGNYOXPZQP	InChI=1S/C13H20N3O/c1-3-16(4-2)10-9-15-13(17)11-5-7-12(14)8-6-11/h5-8,14H,3-4,9-10H2,1-2H3,(H,15,17)	N-[2-(diethylamino)ethyl]-4-$l^{2}-azanylbenzamide	CCN(CC)CCNC(=O)C1=CC=C(C=C1)[NH]	1.34130847	59350395	PubChem:(59350395)	2	217.1568814876061	221.12928047776222	1897_Celastraceae_pos_sirius_red_1931
28	1	2	2	0.6100842529758036	-2.440954455381109	0.9999999999999999	87.15639916387931	C9H8O4	[M + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	181.04967318255515	371.9004964828491	873_Celastraceae_pos_sirius_red_876
