row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,LQ-01-61-08_pos.mzXML Peak area,LQ-01-61-09_pos.mzXML Peak area,LQ-01-61-27_pos.mzXML Peak area,LQ-01-61-28_pos.mzXML Peak area,LQ-01-61-15_pos.mzXML Peak area,LQ-01-61-05_pos.mzXML Peak area,LQ-01-61-12_pos.mzXML Peak area,LQ-01-61-01_pos.mzXML Peak area,LQ-01-61-06_pos.mzXML Peak area,LQ-01-61-02_pos.mzXML Peak area,LQ-01-61-10_pos.mzXML Peak area,LQ-01-61-16_pos.mzXML Peak area,LQ-01-61-14_pos.mzXML Peak area,LQ-01-61-04_pos.mzXML Peak area,LQ-01-61-03_pos.mzXML Peak area,LQ-01-61-13_pos.mzXML Peak area,LQ-01-61-23_pos.mzXML Peak area,LQ-01-61-42_pos.mzXML Peak area,LQ-01-61-22_pos.mzXML Peak area,LQ-01-61-47_pos.mzXML Peak area,LQ-01-61-21_pos.mzXML Peak area,LQ-01-61-46_pos.mzXML Peak area,LQ-01-61-29_pos.mzXML Peak area,LQ-01-61-18_pos.mzXML Peak area,LQ-01-61-39_pos.mzXML Peak area,LQ-01-61-44_pos.mzXML Peak area,LQ-01-61-30_pos.mzXML Peak area,LQ-01-61-26_pos.mzXML Peak area,LQ-01-61-25_pos.mzXML Peak area,LQ-01-61-17_pos.mzXML Peak area,LQ-01-61-11_pos.mzXML Peak area,LQ-01-61-07_pos.mzXML Peak area,LQ-01-61-57_pos.mzXML Peak area,LQ-01-61-60_pos.mzXML Peak area,LQ-01-61-62_pos.mzXML Peak area,LQ-01-61-50_pos.mzXML Peak area,LQ-01-61-49_pos.mzXML Peak area,LQ-01-61-38_pos.mzXML Peak area,LQ-01-61-40_pos.mzXML Peak area,LQ-01-61-45_pos.mzXML Peak area,LQ-01-61-32_pos.mzXML Peak area,LQ-01-61-33_pos.mzXML Peak area,LQ-01-61-43_pos.mzXML Peak area,LQ-01-61-34_pos.mzXML Peak area,LQ-01-61-24_pos.mzXML Peak area,LQ-01-61-41_pos.mzXML Peak area,LQ-01-61-31_pos.mzXML Peak area,LQ-01-61-20_pos.mzXML Peak area,LQ-01-61-76_pos.mzXML Peak area,LQ-01-61-77_pos.mzXML Peak area,LQ-01-61-61_pos.mzXML Peak area,LQ-01-61-68_pos.mzXML Peak area,LQ-01-61-65_pos.mzXML Peak area,LQ-01-61-48_pos.mzXML Peak area,LQ-01-61-64_pos.mzXML Peak area,LQ-01-61-51_pos.mzXML Peak area,LQ-01-61-36_pos.mzXML Peak area,LQ-01-61-63_pos.mzXML Peak area,LQ-01-61-53_pos.mzXML Peak area,LQ-01-61-66_pos.mzXML Peak area,LQ-01-61-52_pos.mzXML Peak area,LQ-01-61-59_pos.mzXML Peak area,LQ-01-61-19_pos.mzXML Peak area,LQ-01-61-78_pos.mzXML Peak area,LQ-01-61-35_pos.mzXML Peak area,LQ-01-61-70_pos.mzXML Peak area,LQ-01-61-69_pos.mzXML Peak area,LQ-01-61-71_pos.mzXML Peak area,LQ-01-61-67_pos.mzXML Peak area,LQ-01-61-73_pos.mzXML Peak area,LQ-01-61-72_pos.mzXML Peak area,LQ-01-61-54_pos.mzXML Peak area,LQ-01-61-75_pos.mzXML Peak area,LQ-01-61-58_pos.mzXML Peak area,LQ-01-61-55_pos.mzXML Peak area,LQ-01-61-74_pos.mzXML Peak area,LQ-01-61-56_pos.mzXML Peak area,LQ-01-61-37_pos.mzXML Peak area,
11,160.0744178671236,0.074991666,,,,7,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139448.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461599.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,147.06645711345334,0.075727776,,,,7,,,,,,,0,0,0,0,0,0,0,82183.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88294.38,0,0,0,0,0,0,0,0,0,147248.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,120.05576341454518,0.0942,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391014.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570431.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,214.1083800298852,0.110086665,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61265.945,0,0,20261.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29467.639,0,0,0,0,0,0,0,0,0,0,0,0,0,135002.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30754.436,0,0,0,
15,169.07172061540328,0.113013886,,,,,,,,,,,0,0,0,0,0,104972.42,0,0,0,0,0,0,0,0,0,0,0,0,202882.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105729.12,0,0,0,0,0,0,53442.77,0,0,0,0,0,0,0,0,64880.484,0,0,0,0,60031.195,0,0,0,0,0,154974.6,0,0,0,0,0,0,0,51741.477,0,78044.13,44983.777,0,75938.54,0,0,54265.434,
16,147.07912354560338,0.11416667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565192.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,150.0787932493556,0.11416667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65514.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,148.08689611614,0.120911114,,,,7,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154892.44,0,0,205767.53,0,0,0,0,0,0,568836.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,106.04017241795741,0.12323611,,,,7,,,,,,,0,0,0,0,0,0,0,57034.723,0,0,75944.484,0,0,0,0,0,0,0,0,0,0,0,0,0,56497.85,43238.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122975.58,0,0,0,0,0,0,0,0,0,160474.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,175.09794317842918,0.12428333,,,,7,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253282.53,0,0,0,0,0,0,0,0,0,349663.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,186.07727920869775,0.124925,,,,7,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72534.52,0,0,0,0,0,0,130849.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,100.03954198310657,0.12586667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90528.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,105.04484644955741,0.12934583,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102399.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22271.414,0,0,0,0,0,0,50184.113,0,72802.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,148.07465091565652,0.15066876,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67229.62,0,0,0,0,0,0,0,0,0,62219.625,96650.75,0,97693.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42541.332,0,0,168418.52,0,0,0,0,0,0,218483.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93155.04,
25,159.06645625094637,0.18149585,,,,,,,,,,,0,0,0,0,0,0,0,227173.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138960.81,0,48882.18,0,0,0,0,0,0,0,0,0,0,48534.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,146.0714514048086,0.18258333,,,,,,,,,,,0,0,0,0,0,0,0,126568.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47471.586,0,0,49949.89,0,0,0,0,0,0,46354.48,36486.36,0,0,0,0,0,0,41554.965,0,0,0,81245.09,0,0,0,0,0,0,0,0,0,35417.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,162.07855320356637,0.21284722,,,,,,,,,,,21761.625,0,0,0,0,0,0,0,0,42626.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106683.4,0,0,0,0,0,52766.344,0,0,0,0,0,0,0,0,0,151624.3,0,0,0,0,0,0,0,0,0,0,0,44423.926,
28,106.04019351784571,0.2152375,,,,,,,,,,,0,0,0,0,0,0,0,106451.375,0,0,75821.6,0,0,0,0,0,0,0,0,0,0,0,0,0,53776.113,119981.945,0,0,0,0,0,47543.57,0,0,0,0,0,0,0,0,0,0,44018.883,0,0,0,40822.81,0,0,88408.66,0,31276.395,0,0,45535.254,29660.5,86761.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,124.0825520333922,0.22476335,,,,,,,,,,,0,0,0,0,0,3499879.8,9177396.0,4865398.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5411644.5,1.0742808E7,0,0,0,0,0,0,0,0,
30,160.07445049146006,0.23271574,,,,,,,,,,,0,0,0,0,0,0,0,347470.28,0,0,529517.4,0,0,0,0,0,0,0,0,0,79618.766,0,155766.23,0,262939.22,276000.4,110825.76,232956.31,0,0,214290.75,288596.44,0,0,0,0,0,0,0,0,0,0,0,136957.25,0,0,286225.72,0,0,279121.84,0,0,0,0,0,65836.69,150070.55,0,77559.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210702.47,181311.45,0,0,
31,106.04014125882415,0.23368333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,87856.94,0,0,0,0,0,0,0,0,0,0,0,0,0,42353.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,127.013889496551,0.23414049,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,89807.64,46578.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66815.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159499.97,0,0,34927.973,0,0,0,0,0,0,22247.877,0,0,0,0,0,0,0,0,0,0,0,0,0,147412.2,0,0,0,0,0,0,
33,162.0847935621962,0.24990833,,,,,,,,,,,0,0,0,0,0,0,605221.4,0,0,0,0,0,211187.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164870.2,0,0,0,906969.0,0,0,0,0,0,0,0,0,
34,169.07167580294558,0.25632778,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82975.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31362.475,0,0,0,0,0,0,0,0,0,0,42227.734,0,0,0,
35,140.05789814816967,0.26454046,,,,,,,,,,,0,0,0,0,0,0,485133.06,306853.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21723.682,0,0,0,0,0,0,0,0,0,0,0,163562.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210566.97,0,0,954018.3,0,0,0,877848.25,0,0,0,0,0,0,0,0,
36,125.08522779077275,0.27098334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144440.11,0,0,0,0,0,0,0,0,0,
37,124.0767277205561,0.27638668,,,,,,,,,,,0,0,0,0,0,0,1531617.8,0,0,0,0,0,469017.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277912.78,0,0,0,0,0,0,0,0,0,0,0,965952.8,0,0,0,0,0,913330.06,0,0,0,0,0,0,0,0,0,
38,148.07469680841126,0.288525,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41659.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69172.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,200.09318439506265,0.28894,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,240382.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119380.43,0,95780.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130224.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93787.21,0,0,0,0,
40,160.07456237147997,0.28974584,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137709.39,75542.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137700.77,0,0,0,0,0,0,265747.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,147.0664115968835,0.29262707,,,,,,,,,,,0,0,0,0,0,0,0,149788.1,0,84638.836,92612.66,114159.22,130849.734,55257.574,91395.125,0,0,0,0,76167.41,0,0,0,0,55556.367,78223.05,89282.71,49033.133,0,0,0,81815.445,0,85395.234,0,0,0,0,126189.14,0,0,0,0,0,0,0,0,74847.08,0,48591.15,0,0,0,0,0,0,58765.28,0,77312.4,0,0,0,0,76100.516,0,94017.72,0,0,0,103145.8,0,0,0,40868.516,0,115200.84,0,0,
42,200.0930141397186,0.29613,,,,,,,,,,,0,0,0,0,0,0,0,0,0,122997.36,156003.23,161041.25,167878.02,0,118957.64,0,0,0,0,0,0,96174.8,0,0,96692.055,67680.37,97038.17,114901.45,0,110776.59,0,393992.1,0,0,0,0,0,0,0,0,0,0,0,72245.914,0,0,152593.16,0,0,79625.01,0,0,0,0,0,0,86199.945,0,0,0,0,52812.85,0,0,0,0,0,0,0,118261.5,0,0,0,53994.734,0,177335.12,0,0,
43,125.08374169129566,0.29665142,,,,,,,,,,,0,0,0,0,0,44890.383,256535.92,84818.77,0,0,0,0,0,0,53849.367,0,0,0,0,0,130966.83,0,0,0,0,0,333164.25,0,0,105266.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49090.1,0,24975.805,0,78258.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58181.61,59667.535,0,0,0,0,0,0,0,0,
44,146.0714201970979,0.30216148,,,,,,,,,,,0,0,0,0,0,0,0,73472.336,0,0,136608.53,0,0,109369.47,58478.273,0,0,0,0,0,0,0,0,0,58039.797,60156.156,0,28348.088,0,0,0,0,0,0,37260.17,22576.836,0,0,0,0,0,0,0,0,0,0,72992.31,0,0,124827.54,0,0,34338.797,0,55792.336,0,52362.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73790.92,0,28867.809,
45,175.0979354857116,0.30530512,,,,,,,,,,,0,0,0,0,0,0,0,0,0,186543.02,424309.28,249041.11,253824.08,0,187737.62,0,0,0,0,0,0,181632.45,0,0,120022.984,0,182485.22,153405.0,0,0,0,181176.67,0,0,0,71008.55,0,0,0,146300.5,0,0,0,157526.81,0,0,156242.67,149430.84,0,154531.81,0,0,0,201561.6,0,0,100498.71,0,157888.78,0,0,0,0,202661.86,0,0,206791.9,0,0,196454.72,0,0,148731.1,430822.6,172071.48,271344.44,0,0,
46,169.07180978229255,0.30589765,,,,,,,,,,,77984.48,0,0,0,0,76693.586,0,0,0,91445.0,0,0,0,0,0,0,0,0,0,0,0,105345.08,0,0,0,0,0,0,106007.17,0,0,75022.555,0,0,125575.42,39809.78,0,0,0,0,0,107293.19,45717.082,235702.25,52685.242,0,0,0,0,0,74019.75,0,0,231312.53,0,44303.773,117796.66,94040.06,0,0,0,24653.523,72239.81,63207.766,0,0,42336.805,70675.195,53194.984,177932.89,0,93689.84,40824.72,0,58170.12,0,0,145314.6,
47,159.0665317317478,0.30921116,,,,,,,,,,,0,0,0,0,0,0,0,142304.02,0,0,0,107989.33,119348.13,0,139272.0,59757.7,0,0,0,0,0,0,0,0,78717.79,109285.47,0,104739.0,0,68344.92,69175.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88909.42,0,0,0,44618.54,0,0,0,0,56304.18,47791.184,0,0,0,58620.297,0,0,0,0,0,
48,153.0769915428789,0.3095778,,,,,,,,,,,0,0,0,0,0,0,0,386656.75,0,0,300657.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209207.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,148.08690851992557,0.32650626,,,,,,,,,,,0,0,0,0,0,0,0,0,0,267382.06,0,167484.0,0,0,309262.25,0,0,0,0,0,0,0,0,0,0,0,0,124704.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210157.38,0,276355.72,0,0,0,0,0,0,0,0,0,129667.1,0,0,0,0,0,0,0,394411.56,0,0,0,0,0,0,0,0,0,0,0,
50,188.0931201708746,0.33005747,,,,,,,,,,,147634.47,0,87055.03,0,0,0,121839.98,125018.33,55502.195,0,184534.47,134895.02,141377.97,84378.31,126362.555,0,0,0,0,0,0,0,0,0,97516.14,0,0,102822.016,99897.914,145362.61,0,109148.37,0,0,96031.58,0,0,128130.43,0,0,88073.05,0,0,0,0,0,60834.26,87105.125,0,165334.36,0,0,0,0,138119.84,0,160088.44,0,105725.96,0,0,0,0,99483.84,0,0,0,0,0,118006.06,90558.07,0,101660.85,105486.72,152656.2,138973.0,0,0,
