row ID,row m/z,row retention time,LQ-01-61-01_pos.mzXML Peak area,LQ-01-61-02_pos.mzXML Peak area,LQ-01-61-03_pos.mzXML Peak area,LQ-01-61-04_pos.mzXML Peak area,LQ-01-61-05_pos.mzXML Peak area,LQ-01-61-06_pos.mzXML Peak area,LQ-01-61-07_pos.mzXML Peak area,LQ-01-61-08_pos.mzXML Peak area,LQ-01-61-09_pos.mzXML Peak area,LQ-01-61-10_pos.mzXML Peak area,LQ-01-61-11_pos.mzXML Peak area,LQ-01-61-12_pos.mzXML Peak area,LQ-01-61-13_pos.mzXML Peak area,LQ-01-61-14_pos.mzXML Peak area,LQ-01-61-15_pos.mzXML Peak area,LQ-01-61-16_pos.mzXML Peak area,LQ-01-61-17_pos.mzXML Peak area,LQ-01-61-18_pos.mzXML Peak area,LQ-01-61-19_pos.mzXML Peak area,LQ-01-61-20_pos.mzXML Peak area,LQ-01-61-21_pos.mzXML Peak area,LQ-01-61-22_pos.mzXML Peak area,LQ-01-61-23_pos.mzXML Peak area,LQ-01-61-24_pos.mzXML Peak area,LQ-01-61-25_pos.mzXML Peak area,LQ-01-61-26_pos.mzXML Peak area,LQ-01-61-27_pos.mzXML Peak area,LQ-01-61-28_pos.mzXML Peak area,LQ-01-61-29_pos.mzXML Peak area,LQ-01-61-30_pos.mzXML Peak area,LQ-01-61-31_pos.mzXML Peak area,LQ-01-61-32_pos.mzXML Peak area,LQ-01-61-33_pos.mzXML Peak area,LQ-01-61-34_pos.mzXML Peak area,LQ-01-61-35_pos.mzXML Peak area,LQ-01-61-36_pos.mzXML Peak area,LQ-01-61-37_pos.mzXML Peak area,LQ-01-61-38_pos.mzXML Peak area,LQ-01-61-39_pos.mzXML Peak area,LQ-01-61-40_pos.mzXML Peak area,LQ-01-61-41_pos.mzXML Peak area,LQ-01-61-42_pos.mzXML Peak area,LQ-01-61-43_pos.mzXML Peak area,LQ-01-61-44_pos.mzXML Peak area,LQ-01-61-45_pos.mzXML Peak area,LQ-01-61-46_pos.mzXML Peak area,LQ-01-61-47_pos.mzXML Peak area,LQ-01-61-48_pos.mzXML Peak area,LQ-01-61-49_pos.mzXML Peak area,LQ-01-61-50_pos.mzXML Peak area,LQ-01-61-51_pos.mzXML Peak area,LQ-01-61-52_pos.mzXML Peak area,LQ-01-61-53_pos.mzXML Peak area,LQ-01-61-54_pos.mzXML Peak area,LQ-01-61-55_pos.mzXML Peak area,LQ-01-61-56_pos.mzXML Peak area,LQ-01-61-57_pos.mzXML Peak area,LQ-01-61-58_pos.mzXML Peak area,LQ-01-61-59_pos.mzXML Peak area,LQ-01-61-60_pos.mzXML Peak area,LQ-01-61-61_pos.mzXML Peak area,LQ-01-61-62_pos.mzXML Peak area,LQ-01-61-63_pos.mzXML Peak area,LQ-01-61-64_pos.mzXML Peak area,LQ-01-61-65_pos.mzXML Peak area,LQ-01-61-66_pos.mzXML Peak area,LQ-01-61-67_pos.mzXML Peak area,LQ-01-61-68_pos.mzXML Peak area,LQ-01-61-69_pos.mzXML Peak area,LQ-01-61-70_pos.mzXML Peak area,LQ-01-61-71_pos.mzXML Peak area,LQ-01-61-72_pos.mzXML Peak area,LQ-01-61-73_pos.mzXML Peak area,LQ-01-61-74_pos.mzXML Peak area,LQ-01-61-75_pos.mzXML Peak area,LQ-01-61-76_pos.mzXML Peak area,LQ-01-61-77_pos.mzXML Peak area,LQ-01-61-78_pos.mzXML Peak area,
11,554.1939900716146,4.573266666666666,2.1463481228784505E8,0,3.280521962425622E8,1.1160294907172506E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,594.2336044311523,4.022333333333333,2.1960404728490695E8,3860117.33702147,7262180.7991777025,1.3044203615325682E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,552.179443359375,4.1216083333333335,1.6904228365807018E8,1.4695499353210852E8,1.5043315692538795E8,4.581716561729999E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,295.2269411248676,4.689511016949153,3.5804038846678233E8,4.136027051896253E8,2.432438232967493E8,7.047561148985306E8,1.366534475504752E9,1.0043863479537514E8,4.9404738993125045E8,1.4997347930982786E8,0,1.4346963163871233E9,5.651326596758112E8,9.121629273309383E8,1.0303151066020644E9,3.2858153472484354E7,1.2481513500077465E9,1.7178926316607425E9,1.1450230347517495E9,0,0,8.769137323606265E8,0,0,0,2.7050105734862504E9,4.1067840966540036E9,8.529946217798765E8,9.122746519327493E8,5.9949783962562256E7,1.8482578988943806E8,5.3154497322837716E8,1.725515201731256E8,1.025245094185308E8,4.7615624110931504E8,2.5322196334149866E9,2.902141335491989E9,3.8312801440487397E8,1.3900328352133188E9,0,1.4808523758951232E9,1.286990096029122E9,1.5544247569629714E8,0,3.5676335623709416E8,2.3164902410421848E8,2.6206450726587546E8,9.44418486872161E8,4.250697457486569E8,0,6.047460971492474E8,4.645889550393753E8,1.7118263514375055E8,1.47764713201112E9,8.92052208811999E8,3.481547160873435E7,8.19777984385467E7,4.7965351966087437E8,5.0728040286346734E8,0,1.8512655817924936E9,0,2.5740166651218753E7,5.718923978342168E7,5.888993297856245E8,0,1.179916051055748E9,0,3.470116994676409E8,3.277547146486258E8,2.415157901351863E8,0,4.151243857395013E8,0,0,1.3614318713718665E8,4.807540480396244E8,0,0,0,
15,609.271788062119,5.942067886178863,1.5521097615349907E8,8800476.520140612,0,5.8394551471671686E7,0,0,0,4.575943116602365E7,0,1.6326767843174815E7,6375824.287796901,3.7146399484174925E8,0,0,2.726330767260156E7,2.2591129768252996E8,0,0,2.6937001254440516E8,0,0,0,4.343067291677346E7,0,0,1.4531177868984342E8,7.307413758067892E7,0,1.1940415389603488E7,1.474651055453436E8,0,0,5.197573753985201E7,0,1.2961207448406193E7,1.4187590685209477E8,0,4.1530979247726426E7,2.1297282461228257E8,3.416421057616253E8,0,1.4879154693644471E7,8.965262964112493E7,5873643.977484357,6359884.607669936,1.2159403910825807E8,0,1.034109882521488E8,7892729.418033263,0,9067776.186199173,8.546214697245345E7,1.2667475356331978E7,0,0,0,0,1.0757629071697573E8,4.43775168660251E8,0,7969308.3118945975,3.03565294715316E8,2.7207974843968842E7,3.876453811042975E7,4.660674259684703E8,2.94404197400937E7,0,3.734508470193752E8,0,0,7585429.354175791,0,0,0,0,0,0,0,
16,600.2079010009766,4.536033333333334,1.6757047483256093E8,1.5631576494335987E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,338.34190629657945,6.830478508771932,1.3936880578258032E8,9.907511824012937E7,4.566059800030902E7,3.9780849821718946E7,5.918309029870093E7,2.1473878456464697E7,7605401.676234358,2.4323393041158076E7,7.514151153001542E7,5.175224400085921E7,5.038916063089046E7,5.286788107366778E7,5.098710297015465E7,6.366045025461282E7,5.582321653893744E7,2.7510962231855575E7,1.0934962191670485E8,1.2078921736375065E8,4.8537031598293155E7,5.463204981698081E7,7.961451328828168E7,1.0114926664446943E8,7.191661391043754E7,3.369076286942005E7,5.53003645987189E7,2.562612623070672E7,5.388059247900775E7,2.620024305207023E7,2.9603711361375302E7,2.6124382070279513E7,5.906045434663699E7,9.377715573508647E7,2.7819367079087798E7,8.207931900768854E7,8.2656453330281E7,1.9709821227648534E7,3.488046294366975E7,5.804390366586733E7,6.2342804921801016E7,4.3891769944890656E7,3.7478850361648224E7,5.675901464886715E7,5.709997598406098E7,4.8504417751074366E7,2.376080572429669E7,1.9376317364343554E7,1.740008077178921E8,1.7747143708289889E8,9.057740476657404E7,6.720429474805087E7,2.4925006059904348E7,3.2657801279550817E7,6.821386247303939E7,1.204047314196866E7,3.2074851951605603E7,1.93212215123517E7,6.736584443019119E7,6.469347705444366E7,4.1893545546363086E7,2.04160433576407E7,0,1.3769682328828874E8,6.876178233841012E7,3.397384477765218E7,1.8649089990593765E7,3.617265867640625E7,5.1119098305722885E7,7.908150504892178E7,6.310975661676971E7,5.875143624462543E7,8.322805081943434E7,1.2037923867984414E7,3.1713999908781078E7,1.440911056964053E7,7.308045514580522E7,0,1428897.0307988257,5.5576897705117084E7,
18,584.1949310302734,4.451991666666666,1.3792949679125074E8,2.2233670586066462E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,181.12208051939268,2.904138288288288,1.5006944744392267E8,3.724121443255475E7,3.356641207714069E7,9.525106861306259E7,1.5528517809460895E7,3.3253665061499964E7,2.4459291748328142E7,1.6865206557195267E8,4639771.859148451,1.7029212442862535E8,3.702074956149616E7,2.7524560729085207E8,3.0905568957562633E7,4358514.169908204,5.511220078768754E7,6.512767468296553E8,3.235413506859372E7,2.4481973424367286E7,3.8717225622856873E8,5.9392081504547074E7,1.952252164018749E7,2.0201487267226577E7,2.1173345780077717E8,0,2.15275888858593E7,5.858464253769377E8,5.939701127038294E7,1.4549593446624987E7,1.6732460596394517E7,1.6918342870340595E8,1.297539489166409E7,2.0942923598285154E7,4.862962213091161E8,1.9311468759718787E7,2.715986135856252E7,4.2452322468206286E8,1.4837844135570334E7,4.509908939897637E7,5.667979120632176E8,3.2176891778345364E8,1.326009423883982E7,6.91424549107726E8,2.6751450476764023E8,4.9115259375168025E7,3.4227946558417946E7,4.232307412894466E8,4850920.254339853,4.088503476920163E8,1.8637379597125E7,9302167.373218717,5.475194789210922E7,2.0573261577195406E8,4.596238999714058E7,1.2989696505599982E8,1.0673023158585934E7,8469445.484812524,7429478.579113283,1.02102662344156E8,4.723688001589224E8,4716804.522476563,1.1286540359500815E8,6.0848319502726495E7,6.151762807092962E7,2.6223741300001588E8,3.619900933251168E8,3.1889940496499926E7,1.0571174705445338E7,5.997298904271864E7,2.156226254380863E7,1.7322762050847642E7,1.3670395185390597E7,1.579322361684374E7,0,4020574.433703144,1.5124984531273425E7,0,0,2760470.693156245,
20,591.2032318115234,4.912266666666667,1.384565971303908E8,1.1274784334605437E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,279.232057879048,4.582118548387095,2.1579179652106327E8,0,8.858636877868737E7,3.473936369241251E8,1.5366729398960059E9,1.2396204695087491E8,2.102791844705004E8,3.175998153764057E7,0,4.67779103921749E8,2.6720748188187423E8,1.4458415851270013E9,6.456235251014993E8,3.2814418356218573E7,1.0871455462833133E9,2.8670062916674953E9,7.147328023332489E8,8.248154605454994E8,0,0,2.16335079032001E8,0,1.2101481840287544E8,1.770098517650498E9,1.9655663581260014E9,1.339810639434745E9,9.908837454145023E8,2.996680797324999E7,0,7.316976225081242E8,1.6797313586587542E8,1.2523357545162518E8,3.424730786125629E8,1.6634194129050052E9,2.3466437053000107E9,1.097169014050567E9,1.1399354620149996E9,1.7109686508679955E9,1.854603559026121E9,1.5640328029315066E9,8.915151298164067E7,4.16842750456126E8,2.5594560925543702E8,1.5241730987576574E8,0,4.6038405408537513E8,0,2.4563901881306148E8,3.9683815402224964E8,2.2414454898424977E8,1.757771165390618E8,1.6067107275040019E9,9.469376252699361E8,0,9.08606411426405E7,4.0334504051406413E8,2.8421162539050114E8,2.2176217721314964E9,2.9773270544559946E9,0,0,7.2055829465969E7,1.691115904808749E8,7.465752096706258E7,1.2767576592765033E9,6.450642925200303E8,3.0263215961962426E8,2.4239529026184314E8,2.0204342765635926E8,0,3.2619377261425E8,0,3.648782362482517E8,0,3.714730939736866E8,0,0,3.4310036600859575E7,
22,295.2268739897629,4.781231034482759,1.3406088354000044E8,1.7160572593300098E8,8.65354525205004E7,2.9505716540350085E8,0,0,1.2635091557399961E8,0,0,5.581988623239975E8,2.146715053829986E8,0,0,0,2.3552307410875002E8,0,5.1013507051999974E8,1.0861171092373772E9,3.0560651217559876E9,0,5.857408538311225E8,2.58160158380969E8,0,0,0,0,0,0,0,0,9.859658152350041E7,0,0,0,9.693849112019911E8,2.7268199554850215E8,0,9.207392825759971E8,6.05758760949003E8,0,0,4.307163627189355E8,0,0,0,0,0,0,0,0,0,0,3.758230446550012E8,0,3.2203927277062483E7,1.8484211683900118E8,0,0,7.431210131979992E8,0,0,0,0,0,0,2.3344474705250147E8,1.354970297955004E8,0,1.0701554430299883E8,2.833971333209534E8,0,0,3.567741980740025E8,1.2127266079050037E8,0,0,0,0,
23,592.2108917236328,5.069425000000001,1.1951509507818824E8,6551272.167001958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,425.3781787109375,6.299572000000001,1.4352688667437476E8,0,0,0,0,0,0,5.650575054849998E7,4.818467481678882E7,4.0136845042624965E7,1.7504345295100063E8,0,0,0,0,0,9.191462586774948E7,0,0,0,0,6.0335889407222494E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.493830311262451E7,4.424629825818759E7,0,0,3.3318016449906164E8,9.843621948771888E7,2.578776606644373E8,2.821623397768382E9,0,0,3.143913939624991E7,1.0802567507101558E7,0,0,0,0,4.598949438748738E8,0,0,0,2.693333087574991E7,1.2858561245499955E8,0,0,1.5446630546549958E8,0,2.7397119444851603E7,2.9037454722140666E7,0,0,0,0,0,6.806705644212489E7,2.504650122182504E8,0,2.684824302593754E7,0,0,0,0,8.352940635093708E7,
25,244.2634307861328,3.707458974358974,9.972638740140656E7,2.0400058325893626E8,1.3226265418156269E8,1.9497888814675006E8,1.3103288528525005E8,8.487647168312502E7,1.6566182735234305E7,7.574731870787483E7,2.0225786980131263E8,1.5754918102349964E8,2.198982849237497E8,9.346418260940613E7,1.8437433893962497E8,2.1680181607337472E8,1.6838729355918792E8,7268184.7242383035,8.567091445234375E7,1.8846612174793717E8,5.045832497685927E7,1.3476618544806194E8,2.956211218510001E8,2.103816129839382E8,5.218724190304683E7,3756041.731871102,4529736.953585949,0,4888375.261178684,2713948.6483691437,4036274.0972245974,0,4404916.951552734,6090055.236789051,4339270.119386709,3494570.215640627,5431033.1276406115,0,0,3050429.70053125,1973897.9768017586,0,0,5046293.423958973,2.0202787737281182E8,1.44054721172563E8,2.2735413482481262E8,1.1711766658440608E8,2.3962783823487455E8,1.1730608211428092E8,6.539549148328118E7,1.620668201862504E8,3.3961141057187605E8,3344444.1734013488,2.0431530195925063E8,4.1408160263749905E7,2.643074301892183E7,0,4.77714391699061E7,1.5352177658618775E8,6.202768889881259E7,9.132344754490681E7,5.9898245383562446E7,1.1888985356096871E8,3.584667130848739E8,6974661.25931835,3444817.248406242,0,0,4753829.226322247,1747600.6581914052,5263425.018179671,7845357.155162085,0,0,6147192.103980489,1.325453383032029E7,0,0,6918058.960261724,
26,315.2536660653573,5.859329629629629,8.43836165398751E7,0,9.486775711800561E8,0,0,4.933906046246922E8,1.4977346545275322E8,6745997.470625015,3519598.879558583,5907052.58882034,5331741.214902329,4328697.141181618,9.840826062505776E7,8.920499161758634E7,1.8215397395041082E7,0,1.296155421139846E7,1.0859523441697307E7,3.39012150792087E8,2.924231658532247E8,6.556094187816131E8,8.27399630665666E8,1.4209897291872911E7,1.3777283395628963E7,1.3162286555256013E7,7833857.530765582,6.256121913285496E7,5.759291785310141E7,0,1.3221442209792943E9,0,1.0118498954945917E9,0,1.1248801823574185E7,4.541126101169178E7,1.3373759616191484E7,3.904064807028108E7,0,8.886958826941468E8,0,0,0,8.655109065663269E7,3.677233055211689E7,2.2259667948472574E7,1.2621561631203927E8,4.214141952456018E8,3.9282175988597554E8,1.8001946404487985E8,3.5206536884785014E8,5.3215054367890514E7,0,7.944586803788325E7,6.258085975478928E7,2.7908593248242117E7,3.420364022180876E7,6357480.115423815,1.342397441414841E7,9640032.588796848,4485939.909203127,9345398.415882839,1.0889946160556565E8,1.137789084985155E7,1.0620183664511718E7,0,0,1.3278217433871066E7,2.578759695415233E7,0,0,0,0,0,0,0,0,0,0,
27,701.2702941894531,4.2402,9.24212724417035E7,0,0,2.4239746203212544E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,409.1623992919922,4.535183333333333,7.976590623396026E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,609.2721730825064,5.7789972972972965,8.258983396060027E7,0,0,3.669109207243721E7,1449496.8858632848,0,0,1.6914208991812583E7,0,7856372.793657193,0,3.288045604906688E8,2974953.968806641,0,1.4026808927484348E7,8.562554662957612E7,0,0,1.1937247174993835E8,0,0,0,1.7825927731210925E7,0,0,5.658983432584737E7,2.8815887793031186E7,0,5946264.3203163855,6.956882744646059E7,0,0,2.1536017769574247E7,0,5686436.921765603,7.843025851303133E7,0,2.1121689300007757E7,1.0093137037180999E8,1.3164119022450024E8,0,9117549.580703124,4.347936430504091E7,0,2033132.6887031156,5.704589650059396E7,1717376.7020195357,3.2509907791851424E7,3014220.8902050653,0,0,3.405797968807519E7,5908972.33415239,0,0,0,0,4.544965024952745E7,3.3433123153494877E8,0,0,1.1821497669515194E8,1.366850313111522E7,1.33939841822324E7,2.7309975608766323E8,0,0,1.6324738755057812E8,0,0,0,0,0,0,0,0,0,0,
