rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	1	1	1	0.9987934974879668	-0.40189429520133907	0.9999999999999999	64.62099594590616	C14H18N2O4	[M + H]+	VNYDHJARLHNEGA	InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)	D-Proline, D-tyrosyl-	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)O	0.441337854	7408393;9795637;13055260;11902950;20111643;44369315;61158795;71419915;103868722;103869093;103869597	COCONUT;HMDB:(29113);PubChem:(7408393 9795637 13055260 11902950 20111643 44369315 61158795 71419915 103868722 103869093 103869597);CHEBI:(141456);ZINC bio:(ZINC02560698 ZINC04899652);additional;PubChem class - bio and metabolites;MeSH:(9795637 13055260);Training Set;PubMed;KEGG Mine	8609357934	279.13390011495375	31.105045080184937	83_P10_SIRIUS_106
12	1	1	1	0.9987313531690597	-0.2474457323098708	0.9999999999999999	38.59040863302858	C14H18N2O3	[M + H]+	WEQJQNWXCSUVMA	InChI=1S/C14H18N2O3/c15-11(9-10-5-2-1-3-6-10)13(17)16-8-4-7-12(16)14(18)19/h1-3,5-6,11-12H,4,7-9,15H2,(H,18,19)	Phenylalanylproline	C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)N)C(=O)O	0.864133	162656;4069131;7010715;7010716;7020641;7020642;7408534;7408535;11902972;21124120;21124121;44369313;61172613;69600282;102532462	HMDB:(11177);ZINC bio:(ZINC02392313 ZINC02560985 ZINC02566288 ZINC04899746);additional;MeSH:(162656 4069131 7020642);PubMed;COCONUT:(CNP0347186);PubChem:(162656 4069131 7010715 7010716 7020641 7020642 7408534 7408535 11902972 21124120 21124121 44369313 61172613 69600282 102532462);CHEBI:(74750);PubChem class - bio and metabolites;Training Set;PubChem class - drug;KEGG Mine	8642912366	263.13917834062465	70.99250684863338	676_P10_SIRIUS_752
13	1	1	1	0.9986123638197217	-5.0978549546884215	0.9999999999999999	59.19705299130272	C14H16N2O4	[M + H]+	XCEZCXFVJLMPKG	InChI=1S/C14H16N2O4/c17-12-7-6-10(15-12)13(18)16-11(14(19)20)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8H2,(H,15,17)(H,16,18)(H,19,20)	Phenylalanine, N-(5-oxo-L-prolyl)-	C1CC(=O)NC1C(=O)NC(CC2=CC=CC=C2)C(=O)O	0.600000024	7408330;7408331;13961383;28214674;28214676;40428046;61137305;103804333;106832122;106832124	COCONUT:(CNP0187663);Natural Products:(UNPD211593);PubChem:(7408330 7408331 13961383 28214674 28214676 40428046 61137305 103804333 106832122 106832124);ZINC bio:(ZINC04899616);additional;Training Set	2678786	277.11787491250806	81.93791491966974	870_P10_SIRIUS_969
14	1	1	1	0.9985010007825101	-24.444177817632596	0.9999999999999999	47.05226067395254	C19H19N3O2	[M + H]+	GVVVEKSVCAGUTP	InChI=1S/C19H19N3O2/c1-5-19(3,4)16-13(12-8-6-7-9-14(12)21-16)10-15-18(24)20-11(2)17(23)22-15/h5-10,21H,1-2H2,3-4H3,(H,20,24)(H,22,23)	neoechinulin B	CC(C)(C=C)C1=C(C2=CC=CC=C2N1)C=C3C(=O)NC(=C)C(=O)N3	3.5999999	23425626;74051561	COCONUT:(CNP0182575);KNApSAcK:(11285);Natural Products:(UNPD15445 UNPD228410);PubChem:(23425626 74051561);Training Set;PubMed	2146386	322.15532583337597	149.7123098373413	1849_P10_SIRIUS_2054
15	1	1	1	0.9983669574387616	-15.071480852408323	0.9999999999999999	25.176776868127106	C14H16N2O4	[M + H]+	XCEZCXFVJLMPKG	InChI=1S/C14H16N2O4/c17-12-7-6-10(15-12)13(18)16-11(14(19)20)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8H2,(H,15,17)(H,16,18)(H,19,20)	Phenylalanine, N-(5-oxo-L-prolyl)-	C1CC(=O)NC1C(=O)NC(CC2=CC=CC=C2)C(=O)O	0.600000024	7408330;7408331;13961383;28214674;28214676;40428046;61137305;103804333;106832122;106832124	COCONUT:(CNP0187663);Natural Products:(UNPD211593);PubChem:(7408330 7408331 13961383 28214674 28214676 40428046 61137305 103804333 106832122 106832124);ZINC bio:(ZINC04899616);additional;Training Set	2678786	277.11797242422324	64.83299732208252	563_P10_SIRIUS_626
16	1	1	1	0.9979570551468415	-31.278702851641402	0.9999999999999999	42.891275341659416	C19H19N3O2	[M + H]+	GVVVEKSVCAGUTP	InChI=1S/C19H19N3O2/c1-5-19(3,4)16-13(12-8-6-7-9-14(12)21-16)10-15-18(24)20-11(2)17(23)22-15/h5-10,21H,1-2H2,3-4H3,(H,20,24)(H,22,23)	neoechinulin B	CC(C)(C=C)C1=C(C2=CC=CC=C2N1)C=C3C(=O)NC(=C)C(=O)N3	3.5999999	23425626;74051561	COCONUT:(CNP0182575);KNApSAcK:(11285);Natural Products:(UNPD15445 UNPD228410);PubChem:(23425626 74051561);Training Set;PubMed	2146386	322.155254163372	167.18931198120117	2063_P10_SIRIUS_2284
17	1	1	1	0.9978259051002188	-0.5498763368258062	0.9999999999999999	21.880721301735793	C18H20N2O3	[M + H]+	GKZIWHRNKRBEOH	InChI=1S/C18H20N2O3/c19-15(11-13-7-3-1-4-8-13)17(21)20-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,15-16H,11-12,19H2,(H,20,21)(H,22,23)	Di-L-phenylalanine	C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)N	2.04445481	65104;6426953;6993089;6993090;6993091;36688992;36688993;36688994;36688995;44369305;70064327;101521825;101361980;102532464;129853212	HMDB:(13302);ZINC bio:(ZINC01605264 ZINC01605265 ZINC01605266 ZINC01605267);additional;MeSH:(65104 6993090);PubMed;NORMAN:(NS00045604);COCONUT:(CNP0348037);PubChem:(65104 6426953 6993089 6993090 6993091 36688992 36688993 36688994 36688995 44369305 70064327 101521825 101361980 102532464 129853212);CHEBI:(72723);PubChem class - bio and metabolites;Training Set;PubChem class - drug	53239918	313.15482912294004	91.0983082652092	1009_P10_SIRIUS_1122
18	1	1	1	0.9977651068312015	-6.97175368468022	0.9999999999999999	49.56463671799519	C14H16N2O3	[M + H]+	LSGOTAXPWMCUCK	InChI=1S/C14H16N2O3/c17-10-5-3-9(4-6-10)8-11-14(19)16-7-1-2-12(16)13(18)15-11/h3-6,11-12,17H,1-2,7-8H2,(H,15,18)	Maculosin	C1CC2C(=O)NC(C(=O)N2C1)CC3=CC=C(C=C3)O	1.0	119404;371682;6993323;28125534;36689258;102190977	SuperNatural:(SN00002383 SN00002385 SN00002384 SN00001861);ZINC bio:(ZINC00900070 ZINC01629943 ZINC01629944 ZINC01629945);additional;MeSH:(119404 371682);PubMed;COCONUT:(CNP0320469);KNApSAcK:(2350);Natural Products:(UNPD55885 UNPD23657 UNPD81035 UNPD149749);PubChem:(119404 371682 6993323 28125534 36689258 102190977);CHEBI:(6631);PubChem class - bio and metabolites;KEGG:(C10605);PubChem class - safety and toxic;Training Set	87613814	261.12317676403654	55.30384066614627	387_P10_SIRIUS_435
19	2	1	1	0.9972978153496547	-28.42863529300371	0.9984924623115576	51.622085224888906	C23H23N5O4	[M + H]+	JTJJJLSLKZFEPJ	InChI=1S/C23H23N5O4/c1-5-21(2,3)22-11-18(29)20(31)27-17(10-14-12-24-13-25-14)19(30)26-23(22,27)28(32-4)16-9-7-6-8-15(16)22/h5-13,29H,1H2,2-4H3,(H,24,25)(H,26,30)	Meleagrin	CC(C)(C=C)C12C=C(C(=O)N3C1(NC(=O)C3=CC4=CN=CN4)N(C5=CC=CC=C25)OC)O	3.0	115080;6437857;17985147;23259517;23728435;46894048;92854701;98051208;98051210	ZINC bio:(ZINC31164016 ZINC33953697 ZINC35458600);additional;MeSH:(115080 6437857 17985147 23259517 23728435);PubMed;NORMAN:(NS00018327);COCONUT:(CNP0221345);KNApSAcK:(24790);Natural Products:(UNPD221904 UNPD103068 UNPD207967);PubChem:(115080 6437857 17985147 23259517 23728435 46894048 92854701 98051208 98051210);CHEBI:(70399);PubChem class - bio and metabolites;Training Set;Biocyc:(CPD-17391)	19720310	434.18276163309105	131.64840667275712	1584_P10_SIRIUS_1757
20	2	1	1	0.9972228974362097	-27.14256613509565	0.9989949748743718	52.16736292489274	C23H23N5O4	[M + H]+	JTJJJLSLKZFEPJ	InChI=1S/C23H23N5O4/c1-5-21(2,3)22-11-18(29)20(31)27-17(10-14-12-24-13-25-14)19(30)26-23(22,27)28(32-4)16-9-7-6-8-15(16)22/h5-13,29H,1H2,2-4H3,(H,24,25)(H,26,30)	Meleagrin	CC(C)(C=C)C12C=C(C(=O)N3C1(NC(=O)C3=CC4=CN=CN4)N(C5=CC=CC=C25)OC)O	3.0	115080;6437857;17985147;23259517;23728435;46894048;92854701;98051208;98051210	ZINC bio:(ZINC31164016 ZINC33953697 ZINC35458600);additional;MeSH:(115080 6437857 17985147 23259517 23728435);PubMed;NORMAN:(NS00018327);COCONUT:(CNP0221345);KNApSAcK:(24790);Natural Products:(UNPD221904 UNPD103068 UNPD207967);PubChem:(115080 6437857 17985147 23259517 23728435 46894048 92854701 98051208 98051210);CHEBI:(70399);PubChem class - bio and metabolites;Training Set;Biocyc:(CPD-17391)	19720310	434.1830641904893	124.30916078388691	1493_P10_SIRIUS_1656
21	1	1	1	0.9968181671405163	-12.621338477945288	0.9999999999999999	38.42918756020788	C22H23N5O2	[M + H]+	SPWSUFUPTSJWNG	InChI=1S/C22H23N5O2/c1-4-21(2,3)22-10-17-18(28)25-16(9-13-11-23-12-24-13)19(29)27(17)20(22)26-15-8-6-5-7-14(15)22/h4-9,11-12,17,20,26H,1,10H2,2-3H3,(H,23,24)(H,25,28)	Roquefortine	CC(C)(C=C)C12CC3C(=O)NC(=CC4=CN=CN4)C(=O)N3C1NC5=CC=CC=C25	3.0	100373;324941;5935070;5358951;6436831;11222992;21608802;51340750;92468704;92468705;92468706;92528665;98043240;98043241;102332638;124708075;124425703;129375130	HMDB:(30381);ZINC bio:(ZINC04523031 ZINC14687876 ZINC14687878 ZINC14687880 ZINC14687882);additional;HSDB:(58735-64-1);MeSH:(324941 5358951 5935070 6436831 21608802 51340750);PubMed;NORMAN:(NS00018320);COCONUT:(CNP0314859);KNApSAcK:(11251);Natural Products:(UNPD157752 UNPD17188 UNPD65449 UNPD222495);PubChem:(100373 324941 5935070 5358951 6436831 11222992 21608802 51340750 92468704 92468705 92468706 92528665 98043240 98043241 102332638 124708075 124425703 129375130);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;Biocyc:(CPD-17381)	86829662	390.1924457026848	184.78618468623608	2315_P10_SIRIUS_2558
22	1	1	1	0.996754688523909	-9.474057135543358	0.9999999999999999	24.720420142311596	C22H23N5O2	[M + H]+	SPWSUFUPTSJWNG	InChI=1S/C22H23N5O2/c1-4-21(2,3)22-10-17-18(28)25-16(9-13-11-23-12-24-13)19(29)27(17)20(22)26-15-8-6-5-7-14(15)22/h4-9,11-12,17,20,26H,1,10H2,2-3H3,(H,23,24)(H,25,28)	Roquefortine	CC(C)(C=C)C12CC3C(=O)NC(=CC4=CN=CN4)C(=O)N3C1NC5=CC=CC=C25	3.0	100373;324941;5935070;5358951;6436831;11222992;21608802;51340750;92468704;92468705;92468706;92528665;98043240;98043241;102332638;124708075;124425703;129375130	HMDB:(30381);ZINC bio:(ZINC04523031 ZINC14687876 ZINC14687878 ZINC14687880 ZINC14687882);additional;HSDB:(58735-64-1);MeSH:(324941 5358951 5935070 6436831 21608802 51340750);PubMed;NORMAN:(NS00018320);COCONUT:(CNP0314859);KNApSAcK:(11251);Natural Products:(UNPD157752 UNPD17188 UNPD65449 UNPD222495);PubChem:(100373 324941 5935070 5358951 6436831 11222992 21608802 51340750 92468704 92468705 92468706 92528665 98043240 98043241 102332638 124708075 124425703 129375130);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;Biocyc:(CPD-17381)	86829662	390.1923984709826	112.0167875289917	1314_P10_SIRIUS_1455
23	1	1	1	0.9966838205833978	-7.238624743570295	0.9999999999999999	17.123004232933887	C22H23N5O2	[M + H]+	SPWSUFUPTSJWNG	InChI=1S/C22H23N5O2/c1-4-21(2,3)22-10-17-18(28)25-16(9-13-11-23-12-24-13)19(29)27(17)20(22)26-15-8-6-5-7-14(15)22/h4-9,11-12,17,20,26H,1,10H2,2-3H3,(H,23,24)(H,25,28)	Roquefortine	CC(C)(C=C)C12CC3C(=O)NC(=CC4=CN=CN4)C(=O)N3C1NC5=CC=CC=C25	3.0	100373;324941;5935070;5358951;6436831;11222992;21608802;51340750;92468704;92468705;92468706;92528665;98043240;98043241;102332638;124708075;124425703;129375130	HMDB:(30381);ZINC bio:(ZINC04523031 ZINC14687876 ZINC14687878 ZINC14687880 ZINC14687882);additional;HSDB:(58735-64-1);MeSH:(324941 5358951 5935070 6436831 21608802 51340750);PubMed;NORMAN:(NS00018320);COCONUT:(CNP0314859);KNApSAcK:(11251);Natural Products:(UNPD157752 UNPD17188 UNPD65449 UNPD222495);PubChem:(100373 324941 5935070 5358951 6436831 11222992 21608802 51340750 92468704 92468705 92468706 92528665 98043240 98043241 102332638 124708075 124425703 129375130);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;Biocyc:(CPD-17381)	86829662	390.19233168825093	150.79482659282803	1866_P10_SIRIUS_2071
24	1	1	1	0.9966461373004052	-8.604290185640398	0.9999999999999999	17.83556841146505	C22H23N5O2	[M + H]+	SPWSUFUPTSJWNG	InChI=1S/C22H23N5O2/c1-4-21(2,3)22-10-17-18(28)25-16(9-13-11-23-12-24-13)19(29)27(17)20(22)26-15-8-6-5-7-14(15)22/h4-9,11-12,17,20,26H,1,10H2,2-3H3,(H,23,24)(H,25,28)	Roquefortine	CC(C)(C=C)C12CC3C(=O)NC(=CC4=CN=CN4)C(=O)N3C1NC5=CC=CC=C25	3.0	100373;324941;5935070;5358951;6436831;11222992;21608802;51340750;92468704;92468705;92468706;92528665;98043240;98043241;102332638;124708075;124425703;129375130	HMDB:(30381);ZINC bio:(ZINC04523031 ZINC14687876 ZINC14687878 ZINC14687880 ZINC14687882);additional;HSDB:(58735-64-1);MeSH:(324941 5358951 5935070 6436831 21608802 51340750);PubMed;NORMAN:(NS00018320);COCONUT:(CNP0314859);KNApSAcK:(11251);Natural Products:(UNPD157752 UNPD17188 UNPD65449 UNPD222495);PubChem:(100373 324941 5935070 5358951 6436831 11222992 21608802 51340750 92468704 92468705 92468706 92528665 98043240 98043241 102332638 124708075 124425703 129375130);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;Biocyc:(CPD-17381)	86829662	390.19236893800826	121.52459621429443	1448_P10_SIRIUS_1604
25	1	1	1	0.9966127259741179	-10.12383555493054	0.9999999999999999	12.757630010418263	C22H23N5O2	[M + H]+	SPWSUFUPTSJWNG	InChI=1S/C22H23N5O2/c1-4-21(2,3)22-10-17-18(28)25-16(9-13-11-23-12-24-13)19(29)27(17)20(22)26-15-8-6-5-7-14(15)22/h4-9,11-12,17,20,26H,1,10H2,2-3H3,(H,23,24)(H,25,28)	Roquefortine	CC(C)(C=C)C12CC3C(=O)NC(=CC4=CN=CN4)C(=O)N3C1NC5=CC=CC=C25	3.0	100373;324941;5935070;5358951;6436831;11222992;21608802;51340750;92468704;92468705;92468706;92528665;98043240;98043241;102332638;124708075;124425703;129375130	HMDB:(30381);ZINC bio:(ZINC04523031 ZINC14687876 ZINC14687878 ZINC14687880 ZINC14687882);additional;HSDB:(58735-64-1);MeSH:(324941 5358951 5935070 6436831 21608802 51340750);PubMed;NORMAN:(NS00018320);COCONUT:(CNP0314859);KNApSAcK:(11251);Natural Products:(UNPD157752 UNPD17188 UNPD65449 UNPD222495);PubChem:(100373 324941 5935070 5358951 6436831 11222992 21608802 51340750 92468704 92468705 92468706 92528665 98043240 98043241 102332638 124708075 124425703 129375130);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;Biocyc:(CPD-17381)	86829662	390.19233759609335	126.76489770412445	1524_P10_SIRIUS_1690
26	1	1	1	0.9962473125050104	-63.82655338376195	0.9999999999999999	27.21409096069702	C17H15N5O2	[M + H]+	ITXQTTPWGBFRNK	InChI=1S/C17H15N5O2/c23-16-14(5-10-7-19-13-4-2-1-3-12(10)13)21-17(24)15(22-16)6-11-8-18-9-20-11/h1-4,6-9,14,19H,5H2,(H,18,20)(H,21,24)(H,22,23)	null	C1=CC=C2C(=C1)C(=CN2)CC3C(=O)NC(=CC4=CN=CN4)C(=O)N3	1.10000002	51136281;132934077;139586156	COCONUT:(CNP0247407);Natural Products:(UNPD92679);PubChem:(51136281 132934077 139586156);PubChem class - bio and metabolites;PubMed;Biocyc:(CPD-17379)	18909250	322.1296920693902	150.2762246131897	1860_P10_SIRIUS_2065
27	1	1	1	0.9960484616243372	-0.8848701012622213	0.9999999999999999	88.39284438610176	C11H13NO3	[M + H]+	CBQJSKKFNMDLON	InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)	Afalanina	CC(=O)NC(CC1=CC=CC=C1)C(=O)O	1.07665002	2000;74839;101184;3583502;6928499;6928500;9990691;11117289;11820424;10353033;10398191;18603700;25240402;25240583;25240916;25241362;49791919;49791920;49791921;49791922;101208073;101224435;101224436;101224437;101224438;100958377;100958378	HMDB:(512);SuperNatural:(SN00215784 SN00001115 SN00267742 SN00001114 SN00268315);ZINC bio:(ZINC00135391 ZINC00135392 ZINC70647120);additional;MeSH:(2000 74839);PubMed;NORMAN:(NS00014789);COCONUT:(CNP0244085 CNP0317748);Natural Products:(UNPD32098 UNPD52038);PubChem:(2000 74839 101184 3583502 6928499 6928500 9990691 11117289 11820424 10353033 10398191 18603700 25240402 25240583 25240916 25241362 49791919 49791920 49791921 49791922 101208073 101224435 101224436 101224437 101224438 100958377 100958378);CHEBI:(21626 143878 57702 28203 16259);PubChem class - bio and metabolites;KEGG:(C03519 C05620);YMDB:(860);Training Set;Biocyc:(CPD-439)	20834670	208.0966313244688	88.14494464007991	980_P10_SIRIUS_1090
