id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
954_P10_SIRIUS_1061	C10H19NO2	[M + H]+	C10H19NO2	Amino acids and Peptides	0.948432445526123	Small peptides	0.9307147264480591	Aminoacids	0.7964457869529724	Alpha amino acids	0.9486810564994812	Amino acids and derivatives	0.9983994364738464	Amino acids, peptides, and analogues	0.9983870983123779	Carboxylic acids and derivatives	0.9994264841079712	Organic acids and derivatives	0.9995682835578918	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
410_P10_SIRIUS_461	C22H39N5O6	[M + K]+	C22H39N5O6	Amino acids and Peptides	0.9804955124855042	Small peptides	0.9934884309768677	Tripeptides	0.9785338640213013	Oligopeptides	0.7266638875007629	Peptides	0.9831821918487549	Amino acids, peptides, and analogues	0.998988926410675	Carboxylic acids and derivatives	0.9999715089797974	Organic acids and derivatives	0.9999973773956299	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Substituted imidazoles; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Alanine and derivatives; Leucine and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
817_P10_SIRIUS_907	C30H39N5O9	[M + H]+	C30H39N5O9	Amino acids and Peptides	0.9221672415733337	Small peptides	0.9264012575149536	Tripeptides	0.8634961843490601	Peptides	0.9353416562080383	Peptides	0.9353416562080383	Amino acids, peptides, and analogues	0.9942418932914734	Carboxylic acids and derivatives	0.996593177318573	Organic acids and derivatives	0.9989104270935059	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Pyrrolidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Valine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
275_P10_SIRIUS_318	C11H9NO2	[M + H]+	C11H9NO2	Alkaloids	0.9375485777854919	Tryptophan alkaloids	0.9700344800949097	Simple indole alkaloids	0.9753056764602661	Indoles	0.9988952875137329			Indoles	0.9988952875137329	Indoles and derivatives	0.9996060729026794	Organoheterocyclic compounds	0.9999310970306396	Organic compounds; Organoheterocyclic compounds; Pyrroles; Ketones; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Aryl ketones; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
275_P10_SIRIUS_318	C11H11NO3	[M - H2O + H]+	C11H9NO2	Alkaloids	0.9375485777854919	Tryptophan alkaloids	0.9700344800949097	Simple indole alkaloids	0.9753056764602661	3-alkylindoles	0.9251725673675537	3-alkylindoles	0.9251725673675537	Indoles	0.9988952875137329	Indoles and derivatives	0.9996060729026794	Organoheterocyclic compounds	0.9999310970306396	Organic compounds; Organoheterocyclic compounds; Pyrroles; Alcohols and polyols; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Alpha hydroxy acids and derivatives; Secondary alcohols; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
683_P10_SIRIUS_759	C9H10O3	[M + H]+	C9H10O3	Shikimates and Phenylpropanoids	0.8487083911895752	Phenylpropanoids (C6-C3)	0.5737731456756592	Cinnamic acids and derivatives	0.4145866930484772	Alkyl-phenylketones	0.5285775661468506	Ketones	0.42656180262565613	Carbonyl compounds	0.24293911457061768	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Acetophenones; Alkyl aryl ethers; Alcohols and polyols; Phenols; Anisoles; Ethers; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl ketones; Aryl alkyl ketones; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities
683_P10_SIRIUS_759	C9H12O4	[M - H2O + H]+	C9H10O3	Shikimates and Phenylpropanoids	0.8487083911895752	Phenylpropanoids (C6-C3)	0.5737731456756592	Cinnamic acids and derivatives	0.4145866930484772	Oxacyclic compounds	0.026627536863088608					Oxacyclic compounds	0.026627536863088608	Organoheterocyclic compounds	0.02210531011223793	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
5_P10_SIRIUS_8	C11H14BrN3O5S	[M + Na]+	C11H14BrN3O5S	Alkaloids	0.35891613364219666	Nicotinic acid alkaloids	0.23194776475429535	Pyrimidine nucleos(t)ides	0.20515896379947662	Aryl bromides	0.9773878455162048			Aryl bromides	0.9773878455162048	Aryl halides	0.9884536862373352	Organohalogen compounds	0.9999663829803467	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl bromides; Organic nitro compounds; Sulfonyls; Organobromides; Aryl halides; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
139_P10_SIRIUS_168	C15H27NO9	[M + H]+	C15H27NO9	Amino acids and Peptides	0.8253054618835449	Small peptides	0.3414420485496521	Dipeptides	0.7488453984260559	Valine and derivatives	0.927000880241394	Amino acids and derivatives	0.9495893716812134	Amino acids, peptides, and analogues	0.9534256458282471	Carboxylic acids and derivatives	0.9883835911750793	Organic acids and derivatives	0.997361958026886	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Oxanes; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
955_P10_SIRIUS_1062	C21H36N4O7	[M + H]+	C21H36N4O7	Amino acids and Peptides	0.9996674060821533	Small peptides	0.975484311580658	Tripeptides	0.5107290744781494	Oligopeptides	0.6792546510696411	Peptides	0.999974250793457	Amino acids, peptides, and analogues	0.9999926090240479	Carboxylic acids and derivatives	0.9999997615814209	Organic acids and derivatives	1.0	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Heterocyclic fatty acids; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; N-acylpyrrolidines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Proline and derivatives; Glutamic acid and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
6_P10_SIRIUS_9	C8H9NO2	[M + H]+	C8H9NO2	Alkaloids	0.848717987537384	Small peptides	0.22730323672294617	Simple amide alkaloids	0.16746369004249573	Benzoyl derivatives	0.7501936554908752			Benzoyl derivatives	0.7501936554908752	Benzene and substituted derivatives	0.976617693901062	Benzenoids	0.9997103810310364	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
411_P10_SIRIUS_462	C10H13NO2	[M - H4O2 + H]+	C10H9N	Alkaloids	0.7990109324455261	Tryptophan alkaloids	0.5919045805931091	Simple indole alkaloids	0.7907627820968628	Benzenoids	0.9983838796615601							Benzenoids	0.9983838796615601	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Benzenoids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
411_P10_SIRIUS_462	C10H9N	[M + H]+	C10H9N	Alkaloids	0.7990109324455261	Tryptophan alkaloids	0.5919045805931091	Simple indole alkaloids	0.7907627820968628	Benzenoids	0.9983838796615601							Benzenoids	0.9983838796615601	Organic compounds; Organonitrogen compounds; Benzenoids; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
276_P10_SIRIUS_319	C20H25FN4O2	[M + H]+	C20H25FN4O2	Alkaloids	0.9766075015068054	Tryptophan alkaloids	0.849245548248291	Carboline alkaloids	0.4101569652557373	Amino acids and derivatives	0.6924338936805725	Amino acids and derivatives	0.6924338936805725	Amino acids, peptides, and analogues	0.6895434260368347	Carboxylic acids and derivatives	0.8194957971572876	Organic acids and derivatives	0.9770738482475281	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Aryl fluorides; Fluorobenzenes; Organofluorides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Aryl halides; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
548_P10_SIRIUS_611	C40H47N5O9	[M + K]+	C40H47N5O9	Amino acids and Peptides	0.8556524515151978	Oligopeptides	0.6139678955078125	Depsipeptides	0.3375667631626129	Depsipeptides	0.6015906929969788			Depsipeptides	0.6015906929969788	Peptidomimetics	0.5963597297668457	Organic acids and derivatives	0.9996191263198853	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Ketones; Alcohols and polyols; Lactams; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Depsipeptides; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Cyclic ketones; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
7_P10_SIRIUS_10	C7H6F3NO2S2	[M + Na]+	C7H6F3NO2S2	Alkaloids	0.6128928065299988	Small peptides	0.37412112951278687	Pyridine alkaloids	0.2521241307258606	Methyl esters	0.7513757348060608	Carboxylic acid esters	0.653080940246582	Carboxylic acid derivatives	0.4398741126060486	Carboxylic acids and derivatives	0.603431224822998	Organic acids and derivatives	0.9383984208106995	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acid esters; Organofluorides; Alkyl halides; Methyl esters; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
818_P10_SIRIUS_908	C17H34N2O6P2	[M + H]+	C17H34N2O6P2	Alkaloids	0.6407198309898376	Ornithine alkaloids	0.6177539229393005	Polyamines	0.5395189523696899	Organic phosphonic acids and derivatives	0.8106726408004761					Organic phosphonic acids and derivatives	0.8106726408004761	Organic acids and derivatives	0.9986149072647095	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxamic acids; Organophosphorus compounds; Organic phosphines and derivatives; Organic phosphonic acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Primary carboxylic acid amides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
684_P10_SIRIUS_760	C20H28N2O8	[M + H]+	C20H28N2O8	Amino acids and Peptides	0.9569503664970398	Small peptides	0.9893291592597961	Dipeptides	0.977544903755188	Dipeptides	0.9669985771179199	Peptides	0.9981858134269714	Amino acids, peptides, and analogues	0.9999943971633911	Carboxylic acids and derivatives	0.9999946355819702	Organic acids and derivatives	0.9999998807907104	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty acid esters; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Dialkylamines; Benzene and substituted derivatives; Polyols; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Benzenoids; Amines; Secondary amines; N-acylpyrrolidines; Aralkylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Proline and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
412_P10_SIRIUS_463	C26H40N4O6	[M + Na]+	C26H40N4O6	Amino acids and Peptides	0.9664349555969238	Small peptides	0.6752946972846985	Cyclic peptides	0.8796719312667847	Oligopeptides	0.5828973650932312	Peptides	0.9443913102149963	Amino acids, peptides, and analogues	0.9964621663093567	Carboxylic acids and derivatives	0.9991119503974915	Organic acids and derivatives	0.9998914003372192	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Alanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
140_P10_SIRIUS_169	C4H5NOS	[M + Na]+	C4H5NOS	Alkaloids	0.5965299010276794	Fatty acyls	0.2174365073442459	Pyridine alkaloids	0.13767264783382416	Azoles	0.956303060054779					Azoles	0.956303060054779	Organoheterocyclic compounds	0.9519487023353577	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
