row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20220918_LFX_AB_19_P10B07_1_POS.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_F.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_D.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_A.mzML Peak area,20220918_LFX_AB_07_P10A07_1_POS.mzML Peak area,20220918_LFX_AB_01_P10A01_1_POS.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_H.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_G.mzML Peak area,20220918_LFX_AB_18_P10B06_1_POS.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_B.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_C.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_pre_E.mzML Peak area,20220918_LFX_AB_04_P10A04_1_POS.mzML Peak area,20220918_LFX_AB_06_P10A06_1_POS.mzML Peak area,20220918_LFX_AB_02_P10A02_1_POS.mzML Peak area,20220918_LFX_AB_05_P09A05_1_POS_QC_post_H.mzML Peak area,20220918_LFX_AB_28_P10C04_1_POS.mzML Peak area,20220918_LFX_AB_22_P10B10_1_POS.mzML Peak area,20220918_LFX_AB_20_P10B08_1_POS.mzML Peak area,20220918_LFX_AB_08_P10A08_1_POS.mzML Peak area,20220918_LFX_AB_37_P10D01_1_POS.mzML Peak area,20220918_LFX_AB_05_P10A05_1_POS.mzML Peak area,20220918_LFX_AB_14_P10B02_1_POS.mzML Peak area,20220918_LFX_AB_21_P10B09_1_POS.mzML Peak area,20220918_LFX_AB_13_P10B01_1_POS.mzML Peak area,20220918_LFX_AB_15_P10B03_1_POS.mzML Peak area,20220918_LFX_AB_03_P10A03_1_POS.mzML Peak area,20220918_LFX_AB_24_P10B12_1_POS.mzML Peak area,20220918_LFX_AB_17_P10B05_1_POS.mzML Peak area,20220918_LFX_AB_12_P10A12_1_POS.mzML Peak area,20220918_LFX_AB_10_P10A10_1_POS.mzML Peak area,20220918_LFX_AB_11_P10A11_1_POS.mzML Peak area,20220918_LFX_AB_38_P10D02_1_POS.mzML Peak area,20220918_LFX_AB_29_P10C05_1_POS.mzML Peak area,20220918_LFX_AB_25_P10C01_1_POS.mzML Peak area,20220918_LFX_AB_45_P10D09_1_POS.mzML Peak area,20220918_LFX_AB_44_P10D08_1_POS.mzML Peak area,20220918_LFX_AB_09_P10A09_1_POS.mzML Peak area,20220918_LFX_AB_31_P10C07_1_POS.mzML Peak area,20220918_LFX_AB_34_P10C10_1_POS.mzML Peak area,20220918_LFX_AB_16_P10B04_1_POS.mzML Peak area,20220918_LFX_AB_23_P10B11_1_POS.mzML Peak area,20220918_LFX_AB_39_P10D03_1_POS.mzML Peak area,20220918_LFX_AB_26_P10C02_1_POS.mzML Peak area,20220918_LFX_AB_36_P10C12_1_POS.mzML Peak area,20220918_LFX_AB_47_P10D11_1_POS.mzML Peak area,20220918_LFX_AB_27_P10C03_1_POS.mzML Peak area,20220918_LFX_AB_33_P10C09_1_POS.mzML Peak area,20220918_LFX_AB_48_P10D12_1_POS.mzML Peak area,20220918_LFX_AB_70_P10F10_1_POS.mzML Peak area,20220918_LFX_AB_58_P10E10_1_POS.mzML Peak area,20220918_LFX_AB_32_P10C08_1_POS.mzML Peak area,20220918_LFX_AB_30_P10C06_1_POS.mzML Peak area,20220918_LFX_AB_43_P10D07_1_POS.mzML Peak area,20220918_LFX_AB_50_P10E02_1_POS.mzML Peak area,20220918_LFX_AB_49_P10E01_1_POS.mzML Peak area,20220918_LFX_AB_46_P10D10_1_POS.mzML Peak area,20220918_LFX_AB_41_P10D05_1_POS.mzML Peak area,20220918_LFX_AB_51_P10E03_1_POS.mzML Peak area,20220918_LFX_AB_54_P10E06_1_POS.mzML Peak area,20220918_LFX_AB_67_P10F08_1_POS.mzML Peak area,20220918_LFX_AB_52_P10E04_1_POS.mzML Peak area,20220918_LFX_AB_35_P10C11_1_POS.mzML Peak area,20220918_LFX_AB_53_P10E05_1_POS.mzML Peak area,20220918_LFX_AB_73_P10G01_1_POS.mzML Peak area,20220918_LFX_AB_64_P10F04_1_POS.mzML Peak area,20220918_LFX_AB_78_P10G06_1_POS.mzML Peak area,20220918_LFX_AB_69_P10F09_1_POS.mzML Peak area,20220918_LFX_AB_63_P10F03_1_POS.mzML Peak area,20220918_LFX_AB_55_P10E07_1_POS.mzML Peak area,20220918_LFX_AB_74_P10G02_1_POS.mzML Peak area,20220918_LFX_AB_62_P10F02_1_POS.mzML Peak area,20220918_LFX_AB_42_P10D06_1_POS.mzML Peak area,20220918_LFX_AB_68_P10F09_1_POS.mzML Peak area,20220918_LFX_AB_57_P10E09_1_POS.mzML Peak area,20220918_LFX_AB_65_P10F05_1_POS.mzML Peak area,20220918_LFX_AB_59_P10E11_1_POS.mzML Peak area,20220918_LFX_AB_40_P10D04_1_POS.mzML Peak area,20220918_LFX_AB_71_P10F11_1_POS.mzML Peak area,20220918_LFX_AB_61_P10F01_1_POS.mzML Peak area,20220918_LFX_AB_85_P10H01_1_POS.mzML Peak area,20220918_LFX_AB_79_P10G07_1_POS.mzML Peak area,20220918_LFX_AB_75_P10G03_1_POS.mzML Peak area,20220918_LFX_AB_89_P10H05_1_POS.mzML Peak area,20220918_LFX_AB_72_P10F12_1_POS.mzML Peak area,20220918_LFX_AB_56_P10E08_1_POS.mzML Peak area,20220918_LFX_AB_95_P10H11_1_POS.mzML Peak area,20220918_LFX_AB_83_P10G11_1_POS.mzML Peak area,20220918_LFX_AB_60_P10E12_1_POS.mzML Peak area,20220918_LFX_AB_92_P10H08_1_POS.mzML Peak area,20220918_LFX_AB_77_P10G05_1_POS.mzML Peak area,20220918_LFX_AB_66_P10F06_1_POS.mzML Peak area,20220918_LFX_AB_76_P10G04_1_POS.mzML Peak area,20220918_LFX_AB_84_P10G12_1_POS.mzML Peak area,20220918_LFX_AB_81_P10G09_1_POS.mzML Peak area,20220918_LFX_AB_80_P10G08_1_POS.mzML Peak area,20220918_LFX_AB_90_P10H06_1_POS.mzML Peak area,20220918_LFX_AB_91_P10H07_1_POS.mzML Peak area,20220918_LFX_AB_88_P10H04_1_POS.mzML Peak area,20220918_LFX_AB_87_P10H03_1_POS.mzML Peak area,20220918_LFX_AB_96_P10H12_1_POS.mzML Peak area,20220918_LFX_AB_93_P10H09_1_POS.mzML Peak area,20220918_LFX_AB_94_P10H10_1_POS.mzML Peak area,20220918_LFX_AB_82_P10G10_1_POS.mzML Peak area,20220918_LFX_AB_86_P10H02_1_POS.mzML Peak area,
17,346.1179493819782,0.3564412,,,,,,,,,,,0,0,0,0,839243.7,0,0,0,0,0,0,0,1677923.6,0,2123946.5,0,592337.2,0,0,0,0,0,0,0,1449257.4,2047465.0,635959.6,0,0,0,1443115.4,826261.44,816204.9,0,0,0,0,0,739747.7,0,0,0,0,731483.0,819938.06,0,1796270.9,0,0,0,0,0,0,0,0,1697051.4,0,0,0,0,0,3422734.2,0,0,509329.7,0,0,0,2098700.2,0,0,0,681140.6,0,0,1162204.2,0,0,0,0,739005.94,0,555297.06,1837497.8,755933.6,604191.6,559246.44,0,1338205.6,0,0,3207369.5,789085.0,905992.8,1512688.5,1547542.2,0,0,0,1518881.4,1075546.8,1662260.5,0,2093768.8,1414299.2,
18,268.1039016242713,0.35691786,,,,,,,,,,,2927913.8,629331.5,630023.6,626149.2,2.2614794E7,6623865.5,0,553734.4,7793644.0,626167.1,608906.0,689335.4,4.4106636E7,7090707.0,5.61444E7,619087.9,1.659715E7,8767005.0,1.3743088E7,1049444.9,4868994.0,1.0119663E7,1335519.4,0,3.9486432E7,5.43086E7,1.7485162E7,0,1.0296713E7,682016.6,3.9897564E7,2.416641E7,2.2225176E7,624514.56,4296739.0,1.4440884E7,0,1539371.5,2.0318192E7,8384602.5,4186161.2,0,0,2.1074072E7,2.1471216E7,4713594.0,4.6901228E7,1.3804709E7,9141663.0,0,1233685.8,2089509.4,1.2489235E7,1398102.1,3001778.0,4.4038676E7,1101484.1,3158863.8,1527849.0,2784041.5,0,8.2844808E7,1520800.0,1.4846601E7,1.4649678E7,0,0,545569.9,5.3607156E7,1.1898179E7,2636963.8,1.5307015E7,1.869118E7,0,1986885.4,3.0753688E7,1161430.4,3859067.5,0,5317812.0,1.992661E7,0,1.5646518E7,4.5954764E7,2.104341E7,1.6849072E7,1.5080504E7,5396404.0,3.5959392E7,0,5659752.0,8.2738672E7,2.4352584E7,2.430798E7,3.905616E7,3.997486E7,1800001.2,1.4900313E7,0,3.9623184E7,2.8244394E7,4.1058184E7,1079990.0,5.5814596E7,3.6994276E7,
20,182.08123962669418,0.35695958,,,,,,,,,,,0,546148.7,551589.8,562201.2,575035.7,0,557665.1,539145.6,0,0,0,656012.7,1769528.8,677700.25,1082434.1,0,0,0,0,0,1275551.5,0,0,1873560.9,827355.44,1414173.2,0,838684.25,0,0,3417466.0,0,0,0,0,906525.9,845771.06,1086175.5,0,0,0,0,1230315.5,920543.25,1823154.0,0,2976581.5,0,0,0,0,2054608.6,659192.1,1592985.1,0,1302804.5,4527265.5,0,0,0,0,0,0,0,0,664796.56,842782.6,0,1580328.8,0,621948.8,0,962823.44,1113135.4,0,0,0,0,0,0,1379100.8,731454.75,0,827143.4,646579.94,912982.3,1578538.1,0,1520091.5,0,0,809754.25,0,815555.94,919204.8,0,963337.06,0,0,602119.9,895626.94,1351953.5,0,2694367.8,0,
22,136.06152461976134,0.35888264,,,,,,,,,,,0,0,0,0,1459727.9,0,0,0,0,0,0,0,3023229.0,0,0,0,1195883.4,0,0,0,0,0,0,0,0,0,1006230.4,0,0,0,0,0,1603655.8,0,0,986861.9,0,0,0,0,0,0,0,1429851.0,0,0,2981275.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886576.2,0,0,0,0,0,0,0,0,0,0,0,1984997.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5978659.5,0,0,0,2498152.0,0,0,0,0,0,0,0,0,0,
23,232.06386686379767,0.35912588,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3162588.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,136.07585638880042,0.360124,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456625.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,285.1024123515436,0.3605379,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615733.1,0,0,0,0,0,0,0,0,0,0,
26,137.04597968429167,0.36227286,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584629.6,0,
27,168.52053197490778,0.3645214,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155085.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,284.0988556665256,0.3647621,,,,,,,,,,,0,0,0,0,2388583.8,1380493.1,0,0,668025.25,0,0,0,8535119.0,725938.7,8104379.0,0,1881333.9,605457.56,1670516.1,0,0,1325639.1,0,0,5875699.0,7243171.5,0,0,1041744.06,0,7395887.5,2103394.5,4601412.5,0,719194.4,1020953.5,0,828030.56,1503701.6,0,779126.75,0,0,3667612.0,4323739.5,915949.7,8162816.5,1931804.6,919769.9,762907.75,0,0,819455.0,662121.2,751350.6,6458486.5,0,560570.6,0,3672076.2,0,0,0,1327708.2,1726779.0,0,0,0,7694158.5,598159.3,0,1704521.1,6983079.5,670625.56,0,3708619.8,0,0,0,864255.4,5492325.0,1208803.6,2170018.2,5789330.0,1352725.9,2102239.5,1408553.6,688765.25,2326055.8,704014.1,870252.44,1.828178E7,5301951.0,1530919.0,6336846.5,3664517.2,0,1491227.2,1539008.6,4230064.5,1767377.1,6909534.0,0,1.7247202E7,4023318.8,
29,152.05669642390393,0.36484528,,,,,,,,,,,0,0,0,0,963432.5,0,0,0,0,0,0,0,3398236.2,0,3279937.2,0,867044.6,0,655244.75,0,0,0,0,0,2370474.0,2963442.2,0,0,0,0,3059597.0,811135.1,2170010.8,0,0,0,0,0,786555.2,0,0,0,0,1647799.4,1804362.2,0,3313883.2,763193.2,0,0,0,0,0,0,0,2533936.0,0,0,0,1555007.8,0,0,0,0,671372.75,0,0,0,3055646.5,0,0,700612.1,2744948.0,0,0,1537691.1,0,0,0,0,2143163.5,0,886443.44,2308410.0,0,0,0,0,976373.25,0,0,9287289.0,2376157.2,678398.8,2549062.8,1579546.1,0,0,0,2168737.2,0,0,0,7174870.5,1660690.0,
30,252.10880465148693,0.365115,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731516.9,0,0,0,0,0,0,0,0,0,0,764156.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594993.1,0,0,0,0,0,0,0,840442.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202440.8,0,0,0,544915.9,0,0,0,681795.6,0,1185920.9,0,0,1077915.6,
